id	county_strips	cobblestones_of_beef	carrots__large_	cto_sveal	cs_of_dried_thyme	cc_of_light_beef_broth	cc_d_huile_d_olive	cl_from_cognac	cl_of_meat_broth	cheese_le_maroilles	cto_cgrated_nutmeg	cork_syrup	country_bread	cl_of_sherry_vinaigrette	crottins_de_chavignol	cajun_epices_of_the_world	crispy_oignons_original_fresh_gourmet	country_bun__or_classic_burger_	cl_of_apple_cider_vinegar	cumin_seeds	cl_of_hazelnut_oil	cto_sblueberry_jam	cto_sonion_confit	chopped_fresh_onion_rod__a_tablespoon_	cream_of_pumpkin__	cayenne_pepper_or_espelette	cto_sblack_pepper	cendrated_goat_fresh__here_saint_maure_	cto_scoarse	country_sausages	cl_of_unwell	cto_cfish	chestnuts__ponthier_	cl_of_fish_broth	colin_fillets_or_other_white_fish_net	cto_cchives	conscious_de_aragar	cto_schervil	cto_schia_seeds	cubes_of_broth_cubes	crushed_and_slightly_roasted_almonds	cto_sfresh_cream	can_by_pesto	cup_of_olive_oil	cto_sfrom_philadelphia	cups__of_nordic__cooked_and_peeled_shrimp	cherry_tomatoes__cut_in_half	cucumber__peeled__seeded__fine_dice	cl_of_thick_fluid_cream	cooking_deer	currants	celery_rave_balls	cl_wine_vinegar	coriander_seed_grains	cooking_of_deer_or_gazelle_cooking	celery_rave_ball	cto_cmild_pepper	cto_csaffron	cto_cpowdered_lemongrass	c_to_c_of_baking_soda	c_agaragar	cto_cguar_gum	cl_or_g_of_lukewarm_water	cans_of_oranher_fleur	cl_of_soy_milk	cto_sbaker	cto_sanise	cto_syeast	cl_hot_water	cto_cworkstershire_sauce	chipolatas	cchopped_fresh_tarragon	c_a_c_of_sate_powder___asian_grocery_	c_a_c_of_curcuma	cm_of_a_growth	cto_sfine_and_strong_mustard_amora	cto_cof_the_old_fashioned_mustard	cto_sof_dijon_amora_mustard	cl_of_b_échamel	coriander_boot__small_	cl_of_biosoy_soja_vanille	cto_sgrapeed_oil	cto_ssalted_peanuts	cl_of_fish_sauce	chopped_fresh_coriander__according_to_taste_	cto_sjapanese_rice_vinegar_or_vinegar	cooked_pink_shrimp	carrot__big_	cognac	chorizo_tranches	cl_of_chicken_poultry	candied_tomatoes_with_olive_oil	cto_scaramelized_ginger	chestnuts	chez_toupargel	chestnut_box	chives_boots	cto_ssherry_vinegar	c_to_s_facarpone	cto_scream	cl_of_boiling_milk	c_from_cocoa	cto_cpistachio_paste	cto_cof_pink_berries	cabbage__small_	cto_sof_acacia_honey	caramel_liquide	cl_of_organic_whole_milk__or_vegetable_milk_for_lactose_intolerants_or_pos__coconut_for_example_to_give_a_little_pleasant_taste_	coating
2068	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2070	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2074	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2076	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2080	0	0	0	0	0	0	0	5_to_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2081	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2089	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
