id	drops_of_culinary_helds_delight_and_sense_fresh	decoration__chocolate_chips__colorful_vermicelli__raspberries__ect_	drops_of_lemons	daddy_beard_aroma_or_other_according_to_your_tastes	drops_of_passion_composition	drops_of_natural_green_dye__optional_	duck_breast_fatty	dried_duck_	dose_of_safran	dried_tomatoes	decoration_	decoration_elements_according_to_your_desires	duck_breast	duck_breasts	dark_chocolate_shavings	dragibus_or_smarties_or_other_round_candies	drops_of_orange_coloring	drop_of_orange_food_coloring__optional_	drop_of_orange_coloring	drops_of_red_liquid_coloring	drops_of_lemon_juice	dry_chili__without_the_seeds_	dakfra	demicitron	dark_chocolate_shelves	dug	dry_lasagna	dl_of_white_wine	dill_cream	dried_tomato_puree	dumplings_in_pike_saint_john	duck_needles	duck_juice	dozen_burgundy_snails	dozen_decorated_and_precuited_burgundy_snails	dozen_snails_per_guest	duck_fat	dozen_canned_snails	dl_of_poultry_broth	dozen	deprot_black_olives	dill	drops_of_dill_oils	dl_of_fresh_cream	dry_tomatoes	dl_of_degreased_chicken_broth__home_or_other_	dl_of_degreased_hen_broth__home_or_other_	dry_apricots	decoration	dried_tomato_petal	duck_legs	dl_of_red_wine	dl_of_game_background	dl_of_degreased_chicken_broth	ducros_cook_art_date	duck_duck_labeyria	dry_figs	duckbow_duck_breast__smoked_with_beech_wood_jean_routhiau	d_énoyal_ée_black_olives	dl_of_dry_white_wine	drop_of_olive_oil	dried_oil_tomatoes	double_concentrate_of_tomatoes	deflected_fungus	duck_confits	dillon	dash_of_walnut_oil	dark_chocolate	dl_de_monbazillac	dl_of_water	dry_morels	dates	dorade_nets	dl_of_cream	dl_of_gascogne_aoc_floc	dl_of_poultry	dry_giant_beans_	depending_on_the_appetites	depending_on_the_size__whining_	dl_of_broth	drummer	diced_tomatoes	drops_of_the_sheherazade_composition	dark_chocolate_plate	doses_of_saffron	dice_tomato_box	du_paprik_fum_é	dijon_mayonnaise_lagire_amora	drop_of_tabasco	dressage_accessory__circle	dried_basil	dried_tarragon	dried_kombu_algae	drops_of_yellow_coloring	delicious	dried_oregano	dehydrated_shiitake_mushrooms	dehydrated_black_mushrooms	drops_of_tabasco	dry_people	dl_of_vegetable_broth	dried_morels	dry_morels__rehydrated_the_day_before_	dried_figs	dash_of_hazelnut_oil_or_olive_oil	dissenger_salad__or_lamb_s_lettuce__arugula_or_even_watercress_	dl_of_milk	dl_of_liquid_cream	dried_peppers_and_powder	dl_balsamic_vinegar	drops_of_orange_blossom	dried_tomato	dried_tomato_petals	dill_stems
95	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
423	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
