id	eggs	egg_yolk	eggs__large_	espelette_pepper	egg	egg_yolks	egg_whites	eau	egg_white	eggs_at_room_temperature	eggs__small_	eggs_	express_coffee	egg_to_brush	egg_for_gilding	espelette_pepper_tip	eggs_a_little_flour	egg_yolk_to_brown	endive_crue	eighty_long_enough_to_be_able_to_make_the_cuts_of_the_coffin_or_marbled_cake	eggs__preferably_to_do_the_day_before_	eggplant	emmental_handle	extra_virgin_olive_oil	egg_whites__at_room_temperature_	espelette_pepper_jelly	eight_brick_leaves	egg_yolk_for_gilding	espelette_pepper__optional_	emmental_slices	egg_yolks_to_brown	egg_spoons	emptied_trout	emptied_mackerel__beautiful_	edible_flowers__dandelions__violets__marguerites__capucines	espelette_pepper_according_to_the_taste__optional_	endives	espelette_peppers	epices___cloves__cinnamon__nutmeg__black_pepper_	edulcoating_or_sugar_and_divide_or_honey__liquid_in_this_case_	espelette_pepper__powder_or_fresh_	espelette_pepper_or_pepper	extra_fine_green_bean	envir	end_tranche_de_cup	endives_depending_on_the_size	emmental_slices__the_real_one_or_the_special_croquemonsieur_toastinettes_	espelette_fleur_de_sel	eggs__separate_the_yolks_from_the_whites_	egg_yolks__organic_
1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
