id	in_case_of_whim	icing	icing_sugar	ice_cubes	icing_sugar_and_cocoa_powder_for_decoration	i_made_the_shortbread_of_kayser_which_is_excellent_	ingredients_for_shortbread	ingredients_for_creamy_b_échamel_	i_am_afraid	ingredients__per_person__	ingredients	ingredients_for_pizza_dough	iceberg_lettuce_or_other_variety_of_lettuce	in_the_fee	in_religion	icing_sugar_to_decorate	italian_mugs	ice_cube	icing_icing_sugar_for_decoration
27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
213	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
361	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
485	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0
508	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0
636	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
705	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0
800	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
802	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0
823	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0
924	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0
924	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0
1139	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0
1197	0	0	0	0	0	0	0	0	0	0	0	0	0	2_12	0	0	0	0	0
1434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1441	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1456	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0
1501	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1515	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1523	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1525	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1724	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1834	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1840	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1868	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
2147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0
2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S
