id	kg_of_pumpkin_cut_into_pieces	kg_of_potatoes	kiwis	kg_of_butter	kiwis_oscar	karamaras_and_caramel	kit_chocolate_bar	kiwis_of_the_igp_adour	kiwi	kg_of_spanish_white_melon	kg_around_the_pain	kg_of_endives	ketchup	knacks_veggie_nature_tartex	knackis	kg_of_rice_for_risotto__gallo_type_	kitchounettes_decoration	kg_of_mirabelles	kg_of_very_ripe_figs	kg_of_apricots	kg_of_pitted_mirabelles	kg_of_mirabelle	kg_of_mirabelles_or_plums	kg_of_fruit	kg_of_gelling_sugar	knob_of_butter_to_grease_the_mold	kg_of_pumpkin	kg_of_pumpkin__flesh_	kg_of_sucre	kg_of_green_nuts	kg_of_thatsches	kg_of_white_sugar	kg_of_apples_not_too_ripe	kg_d_epinards	kg_of_squash	kg_of_broccoli	kg_of_bakers	kg_of_cauliflowers	kg_of_leeks	kg_of_frozen_or_fresh_broccoli	kg_of_eggs	kgtomatoes	kg_of_firm_potatoes	kg_of_tomato_pulp	kg_of_clams	kg_of_worldly_tomatoes	kg_thick_sel	kg_of_strawberries	kg_of_powdered_sugar_or_caster_sugar	kg_of_red_label_strawberries	kg_of_rabbits	kg_of_salmon_with_the_skin	kg_of_fresh_spinach	kiri_fresh_cheese	kg_of_tomatoes	kg_of_red_and_green_pepper	kg_of_farine	kg_of_ventrèche	kg_of_bayonne_ham	kg_of_sausage_flesh	kg_de_bars	knorr_fish_broth_shelves	kg_of_mackerel	kg_of_chicas	kg_of_mash_potatoes	kg_of_sweet_potatoes	kg_of_gu_érande_salt	kg	kg_of_chickens	kg_of_green_olives_picked_of_the_day	knob_of_butter_for_the_mold	knackis_or_ham_dice	kg_of_chard_or_beet	kg_of_potato	kg_de_tomates	kg_of_capons	kg_of_turkey_thigh	kg_of_turkeys	kg_of_grapes	kg_of_lotte	kg_of_carrots	kg_of_pears__depending_on_the_type_of_pears__some_are_juicy_than_others_	kg_of_apples	kg_of_boneless_lamb_shoulder	kg_of_duck_confits	kg_of_toulouse_sausages	kg_of_tarbais_beans	kg_of_fresh_sausages	kg_of_lamb_net	kg_of_onions	kilo_of_endives	kub_or_broth_cube	kg_of_raw_sauerkrauts	kg_of_molds	kg_of_chipped_and_emptied_dorades	kg_of_rooster_in_pieces	kg_of_bouchot_mold	kg_of_sauerkraut	kg_of_green_lemons	kinds_of_lesieur_salad_sauce	kg_of_green_crabs	kg_of_riz	kg_of_river_rice_bomb	kg_d_endive	kombu_powder	kg_of_puff_pastry	kg_of_turbot	kg_of_sardines	kg_of_lamb	kg_of_eggplant__large_	kombu_algae__optional_	kg_of_sheep	ketchup_or_mayonnaise	kg_of_pork_chest	kg_of_jam_sugar	kiwis_de_l_adour	kg_d_oranges	kg_of_lemons	kg_of_pork_cheeks	kg_of_leeks_in_rings	kaki_persimon_mûr	kg_of_simmer_veal	kg_of_veal_or_necklace_shoulders__tendron_or_flanchet	kg_of_veal_shoulders	kg_of_veal	kg_of_veal_the_necklace	kg_of_cooked_ham	kg_of_paris_mushrooms	kg_of_pumpkin_flesh	kg_of_porcelet_ham	kg_of_grated_gruyèreère	kg_of_tomato_concentrate	kg_pitted	kg_of_pink_potatoes	kg_of_semolina	kg_of_bra_which	kg_of_lamb_shoulder	kg_of_veal_tendron	kg_coq	kg_of_rooster_cut_into_pieces	kg_of_veal_hock_in_pieces	kg_of_veal_rolle	kg_of_ostrich	kg_of_cans	kg_of_roast_deer	kg_of_bouchot_molds
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	0	0	2_or_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
