id	lambian_handles	l_of_vegetable_or_poultry_broth	lawyer	lawyers	lettuce	lemon_dipper__and__ginger_suzi_wan	lime	large_tinkering_handles	large_grated_carrot	lettuce_leaves	lemon_yellow	liter_of_water	l_of_broth	liter_of_poultry_broth	l_of_vegetable_broth	l_of_dry_white_wine	liter_of_chicken_broth_or_vegetables	l_of_poultry_broth	l_of_water	large_asparagus	little_swiss	little_coffee_green	lemon_juice__covered_or_other_	lace_pancake_per_verrine	lemon_drop	lait	lace_or_leaf_pancake	lemon_zest	lace_pancakes	l_of_milk	lemon_juice	liter_of_fresh_cream	l_of_whole_milk	lime_zest	large_syrup_fishing_box	lukewarm_water	l_of_boiling_water	lemon	lawyer_or_cucumber	laps_of_pepper_mill	loeul_rabbit_sausages_and_piriot	large_jar_of_rust_sauce	l_of_chicken_broth	liter_of_water__hot_	langoustines	l_of_hot_water	l_of_fish_broth	leek	l_fry_oil	lemon__juice_	l_of_sunflower_oil	lasagna	lasagna_leaves	lasagna_plates	large_eggs	little_milk	large_slices_of_smoked_salmon	lemons	lompe_or_lump_eggs	lump_eggs__for_decoration_	lime__zest_and_juice_	l_red_wine	l_of_elderberry	lemon__zest_	large_box_of_pear_to_syrup	liquid_honey	large_square_chocolate_mileux	large_boxes_of_peeled_tomatoes__large_	licorice_rolls	large__slightly_beaten_egg_yolk	large_cinnamon_sticks	lemon_juice_in_a_hurry	lemons__juice_	leek_whites	l_of_b_échamel	large_natural_tuna_boxes	large_handful_of_olives	large_tomatoes	leeks	laurier	lawyers__small_	lasagna_package	large_handle_of_cashews	lemons_zest	line_of_lemon_juice	lambs	labeyrie_semicooked_foie_gras	large_	large_mixed_strawberries	l_of_raw_cider	large_onions	laughing_cow	lemongrass_sticks	leek__large_	leek_white	large_shrimp	large_dissected_shrimps_of_the_fume	l_of_peanut_oil__for_fryer_	liquid_cream_brick_background	lettuce_hearts	lime__zest_	lumpe_or_black_lump_eggs__optional_	linseed	little_blinis	large_slices_of_smoked_trout	l_of_cream	large_organic_eggs_at_room_temperature	large_shallots	l_duck_fund	large_potatoes	liter_of_milk	l_white_wine_vinegar	l_of_tomato_puree	lime_juice	lemon_vert_bio	l_of_white_poultry_background	liquid_cream	large_sheets_of_aluminum_foil	lisettes__small_mackerels_	large_piece_of_salmon_nets	large_handful_of_sesame_seeds	large_tablespoon_of_parmesan	large_tablespoon_of_aromatic_herbs__basil_and_chives_	log_of_goat_logs	little_black_radish	large_handles_of_young_shoots	lime__juice_	large_potato	large_red_radishes	limousin_fries_apples	lemon_zest__zest_	lobster_heads	lobster_legs	liter_of_liquid_cream	lemons_washer	liter_of_hot_water	large_glass_of_red_porto	line_of_balsamic_vinegar	locking_apricots	large_pieces_of_chickens	love_horns	large_onions_in_pieces__waters__cornstarch	large_t_s_of_mustard	liter_of_vegetable_broth	little_baking_soda	large_grated_apple_roughly	log_of_fresh_goat_cheese	large_handful_of_grated_cheese	large_slices_of_saintnectaire	l_of_salt_water	liters_of_spicy_red_and_sweet_red_wine__confidence_lemon	liquid_cream_or_cold_milk	large_onion	long_pepper	liter_of_fish_cooking_juice	light_butter	lemongrass_rod	l_pineapple_juice	l_of_orange_juice	l_of_lemonade	lobster_tail	lime_slice	lemons_district	lamb_mouse	l_of_dry_white_beans	lingot_or_mogette_bean	liver_sausage	l_of_peanut_oil	lemongrass_stick_cut_very_finely	large_carrot	large_glasses_of_water	liter_of_boiling_water	litchis	l_of_bouchot_mold	leaves_of_oak_leaves	l_of_molds	l_of_fish_fume	large_tomato	liter_of_molds	lobster_bisque_boxes	large_and_cooked_shrimps	large_shrimps__or_prawns__raw_and_dissected	lime_juice_drop	liter_of_white_background	leek_green	lawyers__small_and_very_ripe_	large_green_apple	liter_of_spring_water	lemon__or_vinegar_	large_parsley_handles	large_coriander_handles	large_box_of_chickpeas	limette_or_soft_lemon	lemon_kaffir_sheets__optional_	large_bite_type_tomatoes	l_of_tomato_coulis	lemongrass_rods	large_handles_of_soybean_shoots	lettuce_leaves_iceberg	lemongrass_rod_or_failing_the_canned_lemongrass	lemongrass	lobsters	lemongrass_stick	large_pine_nut_handles	l_milk	l_of_white_wine	l_of_sparkling_white_wine	l_rum	large_lemons_	large_orange_very_juicy	l_of_unwell	l_of_hot_chicken_broth	lemon_balm	little_leek	large_pinches_of_ground_white_pepper	large_slices_of_bread	large_slices_of_white_ham	lesieur_sesame_oil	l_of_liquid_cream	l_of_hen_broth	liter_of_organic_milk	large_pork_jarret	liter_of_veal_bottom	large_leaf_basil	large_fennel_leaves_cut_in_the_same_way	lens	lettuce_or_roman_heart_leaf	large_onion__finely_sliced	line_of_wine_vinegar	l_of_chicken_broth_or_vegetable_broth	l_of_fresh_whole_milk_preferably	large_pinches_of_sugar	lebanese_bread	large_eggplants	large_zucchini	large_tomato__or_more_small_	lemons_juice	l_of_herbs_broth	large_handles_of_dried_porcini_mushroom	liquid_chicory	liter_of_muscadet	large_organic_farmer_s_egg
11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	1_divide_2 + 1_divide_2 + 1_divide_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
