id	mouth_of_cornichons_croq_vert_extra_fins_amora	mill	mesclun_salad_bag	mango	mint_leaves	mango_not_too_ripe	mint_sheets	mint	ml_of_coconut_milk	mint_leaf	making_planne	minister_carapplescaramel_chaplaincy	ml_of_milk	mint_stems	ml_	melting_kit_chocolate_st_mamet	mini_marshmallows	ml_of_water	ml_of_whole_cream	maple_sugar_chips	mascarpone	macarons	melon__big_	melon	melons_of_cavaillon_at_maturity	mustard_butter	ml_of_lukewarm_water	missing_is_a_mixture_of_rye_flour_and_wheat_its_percentage_is_established_according_to_the_variety_to_be_madeit_will_determine_the_body_and_taste	mayonnaise	mustard	mini_brioche_breads_special_hot_dog	medium_sized_potatoes	mixture_of_spices_for_tagine	mozzarella	mm_ham	mozzarella_balls	mozzarella_ou_provolone_piquant	ml_of_broth	meringue	mature_lawyer	mackerel	ml_d_huile_d_olive	mozzarella_strips	ml_of_liquid_cream	mirabelles	mirabelle	mirabelle_or_plums	mirabelle_jam	ml_the_juice_the_orange	medium_sized_lemons	ml_milk	mimolette_or_gruyère	ml_of_tomato_sauce__grilled_garlic_and_herbs_	ml_of_ground_nutmeg	ml_of_curcuma	ml_de_bio_cells	ml_of_curcuma_bio	ml_of_organic_ground_nutmeg	ml_of_organic_white_basmati_rice__not_cooked_	ml_organic_tomato_sauce_with_toasted_garlic_and_herbs__or_your_homemade_tomato_sauce_	ml_of_homemade_creamy_b_échamel	minced_steaks	ml_of_vin_blanc_sec	macarons_drops_chocolat__pretagarnircom_	meringues_drops_nature	minutes_	medium_eggs	meringues	mint_sheet	medium_leeks	minced_shallots	mediterranean_broth_knorr	mandarins__juice_	morceau_of_mozzarella	multicolored_candy_box	maxi_pizza_dough_and_rectangular_herta	marinated_eggplant_strips	marinated_artichokes_cut_in_half	ml_d	minced_meat	mushroom	medium_sized_blinis	ml_of_thick_cream	merlu_nets	moulin_pepper_moulin_tower	material	minutes_over_low_heat_	mesclun_type_salad	marinated_pepper	ml_of_soy_sauce	ml_of_cold_water	mill_pepper	mangoes__depending_on_the_size_	moulin_pepper	mustard_teaspoon	mondeed_tomatoes_cut_in_dice	mint_divide_lemon_olive_oil	maggi_tomato_coulis_bricks	morteau_sausage	ml_of_whole_milk__preferably_	mushrooms	ml_of_fresh_cream	morbier	merguez	medium_sized_eggplant	mignon_pork_net_fillet	muscade_nut__to_taste_	mandarin_dietary_coloring_in_red__green__	ml_of_brown_beer	masins_de_pulcoan_oranges_blood	mini_peppers	mild_red_pepper	mangoes	minced_chives_tea_glass	ml_vermouth_rouge__rosso_	ml_bourbon_ou_rye_whiskey	meat_cooking_juices	mango_juice	measurement_of_chickpea_flour	ml_of_white_wine	maroilles	mounting_guarding_	military	maïzena	marinated_dried_tomatoes	minced_green_onions_including_the_green_part__the_cive_	montb_éliard_sausages	ml_of_orange_blossom	mint_leaves__or_basil__or_sage_	mint_boot	moulin_pepper_with_gu_érande_fleur_de_sel	mature_ripe_mango	melted_butter	mint_leaf_or_whipped_cream	molds	meat	mixture_of_paella_spices	mullet_fillets	medium_potato	mini_bottles_of_small_coraya	mini_wooden_skewers	ml_of_maple_syrup	ml_of_apple_cider_vinegar	ml_of_powdered_sugar_or_caster_sugar	ml_of_butter	mixture_of_spices_for_fish_and_crustaceans	medium_box_of_natural_tuna	medium_fresh_onion_if_possible	ml_of_coconut_milk__optional_	mint_tops	mini_corn_jars	mirin_coffee_cup	musk_or_nutmeg	merlu_nets_with_skin	mango_boxes	mangoes_	mango_passion_foam	mango_and_red_fruits_ice_creams	ml_of_citron	maltese_oranges	medium_onion	montage	mesclun_salad_handle	medium_langoustines	mandarins	maizena_cornstarch	mascarpone_whipped_cream_	medium_tomatoes	ml_of_mayonnaise	muscade_nuts__optional_	ml_of_halfskimmed_milk	medium_carrots	ml_of_vegetable_drink__formerly_vegetable_milk_	merguez_bought_from_your_craftsman	minced_green_onions	margarine	mushroom_to_accompany	morel_sauce	ml_of_porto
4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	4_divide_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
