id	onion__large_	onion	onion__small_	olive_oil	of_nem_sauce	organic_lemon__to_take_the_zest_	onions	orange	oil	organic_honey__here_of_chestnut_	oreo_package	of_the_recipe_	old_carrots	orange_zest	orange_juice	of_melon	or_knead_with_half_milk	olives	olive_oil__hakri__sweet_paprika___salt__pepper	onion_cebette	of_water	oil__for_frying_	onions__large_	oranges	onions__small_	oregano_pinches	orange__jus_	oil_tuna_box_or_natural_tuna	onion_confit_or_fig_jam	organic_yellow_lemons	of_vanilla_pod	oranges__we_need_finely_grated_zest_of_two_in_each_other__as_well_as_the_juice_and_the_third_we_will_use_it_for_decoration_	orange_coloring	orange_gold_coloring_point	one_with_two_onions	one_to_two_mustard_spoons	olive_oil_for_the_dish	olive_oil__to_grease_the_gratin_dish_	organic_lemon	orecchiette	oranges_bio	oregano_handle	old_fashioned_mustard	oven_grilled_peppers__peeled_and_seeded	of_lion_hearts	oregano	oregano_pinch	oil_for_cooking	onion__large__chiseled	olive	onion_cut_into_rings	onions__stuck_in_cloves_	onion__minced	oldstyle_mustard	oil__green_mill_pepper	onion_confit	onions_grelot	of_wine	olive_verte	olive_undergrowth	optional__add_the_tarragon__add__basil_which_leaves_cut_into_strips	of_camembert_a_little_done	old_mustard	oil_tuna_box	oil_drizzle	or_another_variety_of_very_fragrant_strawberries_	of_pulco_pulcoanza	onion_cut_into_small_dice	oranges__jus_	onions_grelots	or_ham_heel_or_ham_	organic_lemon_juice	oignons_district	olive_oil_flavored_with_chili	oregano_leaf	onion_cut_finely	onions_	old_wine_vinegar__optional_	orange_jelly	oranges_bio_si_possible_	orange_tree_flower_water	orange_juice_or_multifruit_juice	orange_peel	organic_eggs	orange__zest_	oven	of_an_average_zucchini	onion_stuck_in_cloves	olive_touch	onion__optional_	organic_carrots	organic_red_onion	organic_vegetable_broth_cube	olive_oil_or_duck_fat
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	1_tsp_of_soy__and_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
