id	vanilla_or_liquid_vanilla_extract	vinaigrette	vinaigrette__	very_ripe_mango	verrines_	very_ripe_avocado	vanilla_pod	vermicelli	vanilla_cookie	vanilla	vanilla_ice_cream_or_chocolate_ice_cream	vegetables__	vine_peaches	vahin_é_gelatin_sheets	vanilla_sachet	vanilla_sachets	very_ripe_lawyers	vanilla_sugar_bag	vegetable_oil	vinegar	very_ripe_pears	vanilla_pod__than_the_seeds_	very_firm_apples__pink_lady__reinette_	very_fresh_egg	varieties_	vanilla_extract_or_liquid_vanilla_or_orange_blossom__depending_on_your_taste_	vanilla_extract	vegetable__your_choice_	vegetable	veal_flesh	vanilla_natural_extract	vegetable_broth_in_cube	vanilla_powder	very_ripe_mangoes	very_fresh_goat	veal_cutlets	volausales	vinegar_and_tomato_pulp__peppers_and_clovis_espelette_pepper	very_mature_tomato_in_the_garden	verveine_sheets	vanilla_yogurt	verre_de_pisco_capel	veal_foot	vegetable_broth	vegetable_broth_cubes	verbena	vanilla_pods_from_madagascar	vine_or_blood_peaches	vanilla_pods	very_sweet_bananas	vodka	vegetables_of_all_kinds__tomatoes__carrots__broccoli__ears_of_but__green_beans__	vegetable_oyster_leaves	very_cold_egg_whites	vanilla_whipped_cream_bombs	vitelotte_potatoes	veal_roast	veal_stock	veal_bones__optional_	veal_bone	veal_medallions	vegetable_broth_tablet	very_young_zucchini	vanilla_ice_cream_balls	very_ripe_but_firm_medium_sized	veal_grenadines	veal_grenadin	veal__or_pork__cute_net_	veal_grenadins	verre_de_porto	vanilla_stick	vanilla_ice_cream
1	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	ingredients___for_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
