id	zaatar	zg_de_sel	zucchini_depending_on_the_size	zucchini_not_too_large	zucchini_strips	zest_and_lime_juice	zest__add__the_juice_of_a_whole_lime	zucchini_cut_into_pieces	zande_nets	zucchini_rings
20	N_S	0	0	0	0	0	0	0	0	0
173	0	N_S	0	0	0	0	0	0	0	0
485	0	N_S	0	0	0	0	0	0	0	0
689	0	0	2	0	0	0	0	0	0	0
693	0	0	0	4	0	0	0	0	0	0
953	0	0	0	0	4	0	0	0	0	0
1084	0	0	0	0	0	N_S	0	0	0	0
1281	0	0	2_or_3	0	0	0	0	0	0	0
1564	0	0	0	0	0	0	N_S	0	0	0
1768	0	0	0	0	0	0	0	3	0	0
2129	0	0	0	0	0	0	0	0	2	0
2176	0	0	0	0	0	0	0	0	0	16
