id	chocolate_shelves	chemical_baking_powers	cabbage	choux_profiteroles	color_and_sugar_daisy_sugar_for_the_decor	chocolate_sponge_cake	chocolate_ganache	crisp_praline	candied_fruits	chocolate__etc	chocolate_teeth	chocolate_bars	crème	cl_of_water__or_milk_	coconut	c_sel	cl_of_cold_liquid_cream	cabbage__small_	cl_of_sugar_syrup	c	cm_opening	chiboust_cream	chocolat	cl_of_strawberry_coulis	caramelizing_or_torch	cl_of_liquid_caramel	case_of_liquid_or_powder_vanilla	cases_of_orange_blossom	cl_of_olive_oil__add__a_net_for_mushrooms	chantilly_fixed_bag	cherry_jar	cremfix_packages	chocolate_nugget_cup	csalt	cl_of_almond_oil__or_other_vegetable_	cl_of_neutral_vegetable_oil	c_for_salt	cl_of_liquid_cream_elle__and__vire	cc_d_huile	cl_of_goyaveframboise_caraïbos	cl_of_fresh_lemon_juice	cl_of_guava_juice	cl_fishing_cream	cl_of_banana_jus	cl_of_calvated_fine	cl_of_tequila	cl_of_lime_juice	cl_de_triple_sec	cto_ccane_sugar	cl_of_brown_cane_sugar_syrup	cl_of_blue_curaçao	cl_of_passion_fruit_nectar	cl_of_grand_marnier_or_cointreau	cl_de_cointreau	cto_cbalsamic_cream	cl_of_cold_red_fruits_tea	cl_of_red_gascogne_floc	cl_of_fig_syrup	cups_of_rhubarb_cooked_and_reduced_in_compote	cl_of_strawberries_cardamom_the_heir_guyot	cl_very_fresh_spring_beer	cl_of_water_for_a_glass_of_syrup	choux_pastry__	chocolate_mousse	count_the_double_for_a_gratin_dish_	cto_schef_s_honey	cl_of_full_bodied_red_wine	cucumber_wurch	candied_duck_thighs	cm_of_foie_gras	cto_svinegar	cto_sorange_juice	cto_cliquid_honey	cl_of_mayonnaise	cto_swine_vinegar	cto_sapple_cider_vinegar	cto_sold_fashioned_mustard	cto_cpowdered_sugar_or_caster_sugar	cc_of_mustard	cm_side_	carrots__minced_with_a_large_holes_grater_	candied_duck_leg	chopped_beef	cheese_slice	cto_spine_nuts	cto_cnutmeg	cto_sbomb__s__of_crème_fraîche	cl_of_thick_whole_cream	cto_sred_cane_sugar_or_brown_sugar	caraway	cto_crum	cto_sbacon	cherre__flat_parsley_and_thyme_for_decoration	cto_ssweet_soy_sauce	cube_of_degreased_chicken_broth	cto_cflower	cl_of_vouvray	cl_of_fresh_fluid_cream	chocolate_shavings_chip	cto_sneutral_liquid_honey	cto_cshackle__s__of_cinnamon	cup_of_coffee__nescaf_é_type_	cocoa_for_decoration	cto_cspice_mixture_for_gingerbread	cups_of_strong_coffee	cookies_with_a_pastry_spoon	cocoa_roll_ingredients_and_chip_cream_	c_to_c_of_amer_cocoa__van_houghten_	chocolates_ball	coquelicot_syrup_or_strawberry_syrup	cl_of_whole_brewed_yogurt	cl_very_cold_liquid_cream	cl__for_final_decoration_	cl_of_strawberry_or_red_fruits__i_used_strawberry_syrup_diluted_in_a_very_little_water_	charlotte_potato	cm_long	cl_of_apple	cl_of_milk__a_small_glass_	cs_of_old_ambr_é_cl_ément_rum	cs_of_milk	csweetness_of_cornstarch	cl_of_coconut_cream_suzi_wan	c_from_agar	cl_of_lychee_puree_the_stoves_of_apt_or_lychee_juice_also_asian_boutique	cc_confit_of_rose_petals	cto_srose_water	coloring	can_stick_but_that_still_works_	cl_of_curaçao	cl_of_sesame_oil	cl_of_raspberry_cream_liquor	cl_of_blackcurrant_or_raspberry_syrup	cl_of_pear_brandy	cl_of_bleu_curaçao	cl_the_curaçao	cl_the_gin	champagne_rose	cointreau	cls_vodka	confit_orange_bark	cl_of_liqueur_grand_marnier	cm_in_diameter_approximately	cm_in_diam	cl_of_apple_cider_or_wine_vinegar	cl_of_orange_juice__or_other_	cto_sgrand_marnier	cl_of_grand_marnier_cordon_rouge	cl_of_red_fruit_sorbet	cigarettes_per_person_	cl_fresh_cream_to_whip	cl_of_whole_milk_or_crème_fraîche_to_whip	cl_of_white_wine_or_orange_juice	cm_sponge_cake_circles__cut_into_a_sponge_cake_previously_	cl_of_vanilla_ice_cream	calissons	cl_of_uht_liquid_cream	cl_of_cold_whipping_cream	cl_of_orange_blossom	cl_of_pistachio_oil	cl_de_sirop_d_agave
2131	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2135	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2137	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2137	0	0	0	x0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2143	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2144	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2144	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2144	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2147	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2147	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
