id	dried_garlic	dl_of_milk_see_nothing_more_depending_on_the_flour	dotch_box	donut_paste	diced_carrots	diced_potato	dehydrated_black_mushrooms	duck_breasts	deco_	dark_rum	dealers_degree_of_an_affineis	dl_of_cream	dl_of_ros_é_wine	dl_of_red_wine	drops_of_bergamot_extract	decoration__optional__	dressage	drops_of_red_dye	drop_of_covered_lemon	drops_of_lemon_extracts__or_lemon_aroma_	dacquoise_in_hazelnuts	dried_cranberries_to_make_the_beans	dl_of_just_d_inanas_looza	drops_of_bitter_almond_extract	dry_apricots	dehydrated_thyme	du_curry	dough__	drop_of_harissa__or_more_depending_on_the_tastes_	degermed_garlic_cloves	dl_of_tomato_coulis	dried_orange_ecorces	dozen_burgundy_snails__beautiful_size__canned	diced_tomatoes	dorades_adorned_by_your_fishmonger	dl_of_milk	drop_of_blue_coloring	drop_of_yellow_coloring	dry_lasagna_leaves	dry_cannellonis	dried_strawberries	drops_of_coffee_extract	drops_of_red_dye__optional_	drops_of_rose_water__or_rose_aroma_	drop_of_green_mandarin_essential_oil__or_other_citrus_	det_to_keep_the_papillotes_close	dried_fruits_or_praline	dark_chocolate_tablet	dried_tomatoes	describes_herbes	dry_people	dl_of_chicken_broth	deprot_black_olives	dl_d_huile_d_olive	dl_of_dry_white_wine	dozen_spoon_cookies	downwall_boxes_hooked_in_syrup	drops_of_green_food_coloring__optional_	drops_of_yellow_coloring	drops_of_lemon_essential_oil	drops_of_aroma_piña_colada	dl_of_coconut_milk	dried_kombu_algae_rods	duck_needles	duck_confit	dry_yeast	drop_of_lemon_essential_oil	dirt_from_mozzarella	drop_of_lemon_juice	double_the_weight_of_whites_in_caster_sugar	drops_of_the_fresh_composition	d_orange	drop_of_carmine__red_pigment__a_few_drops	diplomat	dough_	dissected_non_salty_pistachios	dl_cream	decoration	divide_cocoa_	drops_of_green_dye	delicious_competition_	dark_chocolate_shelves	dark_chocolate_and_fresh_cream_for_glacing_add_decor	dl_amaretto_di_saronno	dl_aroma_orange_blossom	dough	dried_thyme_branches	dill_sauce	duck_breast	drops_of_tabasco	duck_breast_per_person_	duck_breasts_labeyrie	duck_duck_breasts_landes	duck_aiguillettes__landes_	duck_aiguillettes_farmer_from_landes_igp_label_rouge	duck_breast_mag_with_landes_igp_label_rouge	duck_breast_magret_les_landes_igp_label_rouge	duck_aiguillettes_igp_landes__red_label	duck_breast_in_igp_landes__red_label	duck_legs	duck_breast_or_duck_in_pieces	duck_sleeve	duck_sleeves	dice_minced_steaks	dry_figs	dates	depending_on_the_price	degerm_é_garlic_cloves	duck_chops	devant_dijon_mustard_quantity_fine_and_strong	dried_provence_herbs	dried_tomato_petals	dijon_mustard	deer_hazelnuts	dark_chocolate	deer__leg__or_boar_leg	dried_herbs	decoration_	d_écor__	d_écor	disc_of_shortcrust_pastry_spread_over_an_oiled_plate	divers	drops_of_bitter_almonds_essence	dozen_charlotte_strawberries_crushed_roughly	decor__caramel_or_icing_sugar	duck_fat	dried_mushrooms__optional_	duck_ratings	duckling_thighs	dry_goat_cheese_pods	drinks__orange_juice__coffee__tea__hot_chocolate	drops_of_diluted_mint_essential_oil	dried_black_fungus	drops_of_red_food_coloring	drops_of_bergamot_essential_oil	deco__kiwis_coconut_powder	drops_of_rose_water	drop_of_soft_orange_essential_oil	drops_of_food_coloring__optional___or_slightly_more_liqueur_in_order_to_accentuate_the_blue_green_color_obtained	dl_of_water	dl_of_blackcurrant_syrup_or_raspberries_and	dl_raspberry_cream_liquor	drops_of_food_coloring	device_	diced_dried_apricots
25	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
