id	finely_chopped_average_onion	fennel	flat_parsley_of_boot	fresh_parsley	four_spices	finely_chopped_shallots	firm_tofu	filo_sheets	finely_cut_parsley	frying_oil	filo_paste_or_brick_sheets	fresh_coriander	fresh_coriander_or_parsley	filet_d_huile_d_olive	fresh_ginseng_roots	finely_minced_chicken_cutlets	fish_sauce	finely_chopped_lemongrass_rods	fresh_red_pepper	fleur_de_sel	fresh_mint_leaves	fruits_in_your_garden__or_on_the_market_	fresh_pears	for_the_decor__tapered_almonds_or_icing_sugar_or_what_you_want_	fresh_goat	fresh_eggs	fairly_thick_slices_of_grilled_eggplant	freshly_picked_basil_leaves	finely_chopped_garlic_clove	flower_cabbage	frozen_pea	fresh_goat_cheese	fresh_litchis	frozen_cookies	frozen_brownies	fruit_tartare	food_gold_powder	fraise_jelly_based_on_andros_strawberry_soup	food_gelatin_sheets	frozen_raspberries	for_gilding	for_pistachio_cream_	fraies_to_ensure	fresh_mint	fresh_pineapple	farine_jars	fresh_verbena_leaf	fennel_seed_grain	fillet_of_fresh_salmon_fillets	fresh_salmon_fillets	flat_parsley	figues	filo_pastry_sheets	fruit_apples	fresh_oregano	feta_cubes_marinated_with_basil	fillet_de_lotte	fairly_fine_zucchini	fresh_basil	for_the_sake	fresh_parsley_branches	frozen_spinard	fresh_cream	fresh_cheese_box	fresh_sausages	fresh_sage_leaves	fresh_goat_log	fresh_basilic	flower_sage	failing_that__use_cubes_broth_	fresh_herbs	fresh_tower__ask_your_fishmonger_to_kill_it_and_cut_it_into_pieces__or_frozen__s_	fresh_chives_bouquet	fresh_or_or_boxed_tomatoes	fennel_bulbs	fresh_liquid_cream	frozen_hole_net	fine_chopped_parsley_and_coriander	flocons_corn_flour	fresh_pea_saucer	farm_or_organic_eggs	for_decoration	four_strawberries_gariguette	four_large_mint_leaves	florida_pink_grapefruit	fresh_asparagus_boots	fromelet_fromagen_râp_é_nice_berffiraton	fine_zucchini_slices	fine_slices_of_emmental	fresh_lasagna_leaves	flour	fruits	from_c_to_c_of_cardamom_green_crushed	fromages_kiri	fresh_green_peppers	from_c_to_c_of_salt	fresh_foie_gras_cutlet	fruits_	for_nutella_gourmets	finishing_ingredients	faisle	faisselle_foam	fresh_thyme	fresh_thyme_branches	fine_slices_of_smoked_duck_breasts	fresh_fennel_bulbs	finely_minced_red_onion	from_red_peppers	fresh_reddish_fillets	fennel_shell	filets_de_bars	finely_chopped_red_onion	fresh_basil_rods	fresh_basil_branches	feuille_d_or	fixe_chantilly	for_decoration__unwells_cocoa__fantasy_sugars_of_color	finish__whipped_cream__strawberry_chips	fruit_rouge	flower_or_whole_liquid_cream	foamy_whipped_cream	fresh_apricot	fresh_fishing_quarters	fishing_yogurt	fresh_vanilla_pod	fruit_yogurt_or_vanilla	fruits_secs_vajra	for_reasons_of_confidentiality__the_quantities_are_not_given	fresh_spinard	flour_to_sprinkle	for_the_apple_loukoum	food_coloring__optional_	for_the_ganache	for_shells	food__red_and_yellow_dyes__in_powder_	fresh_baker	filling	finely_chopped_spring_onions	fresh_apricots	fig_jam	fourme_d_ambert_shortbread	fines_herbes	finely_chopped_pickles	finely_chopped_shallot	fresh_tomato	folded_paper_boxes	flaked_almonds	fresh_basil_sheets	from_c_to_c_of_agar_agar	for_rooibos_tea_jelly_	for_the_dough_	for_fifteen_whoopies_	for_the_farce_	for_cookies_	for_around_thirty_cookies	fort_chorizo_tranches	food_coloring	fresh_mint_boot	food_dyes__pink__green_	flower_water__add__water	farce__	fat	flammenküeche__divide__flamb_é_pie	filaments_of_safran	filo_pastry	fairly_ripe_banana	fresh_paris_mushrooms	fresh_ginger__according_to_taste_	farmer_chicken_thighs	fresh_or_frozen_porcini_mushrooms	flavored_mushrooms__or_fresh_layer_mushrooms_	flavored_mushrooms	fresh_red_peppers_cut_into_thin_slices	fresh_ginger	fresh_basil_leaves	fillet_of_chicken_nets	fine_slices_of_andouille	fish_smoked	fish_	flower_of_salt_in_cocoa_south_quay	fish_fillet	fresh_lemon	fresh_tomatoes	fresh_garlic	fresh_sardines	for_biggest_appetites_	fine_and_strong_mustard__quantity_required__amora	filet_sardine	frozen_shelled_shrimps	flexible_bottle_of_salsa_sauce_with_sweet_spices_old_el_paso	finely_chopped_white_or_green_onion	fillet_of_deer_nets	finely_sliced_shallots	flour__for_a_break_	fillet_of_sunflower_oil	frozen_raspberries__enough_to_cover_the_bottom_of_the_dish_	french__pack	flour_according_to_the_mixture	for_the_real_flow__i_put_grated_fresh_ginger_and_i_do_not_regret_this_warm_and_spicy_little_taste_that_go_divinely_with_the_full_bodied_chocolatea_subtle_marriage_in_flavor	fondant	fresh_raspberries	fragrant_or_not_according_to_your_choice	fine_slices_of_melons	fine_salt_for_decoration	fresh_strawberries	fresh_fruit_to_decorate	foding_	fresh_plawo_pasta_francine	fresh_chives_boot	fresh_fruits	fine_slice_of_smoked_ham	for_the_vinaigrette_	fresh_and_raw_mushroom	for_the_decor_of_the_house_whipped_cream_with_vanilla_and_red_fruits	fresh_pineapple_cut_into_dice	food_rose_buttons	flower_salad_mixture	fairly_high_transparent_glasses_or_sections_depending_on_the_content_of_the_container	fresh_firm_pears	frozen_raspberry_chips	fishing
18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	1_divide_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
