id	g_for_syrup	g_of_flour__or_half_cornstarch_	gr_of_brown_sugar_that_i_bought_in_mauritius_	g_unrefined_cane_sugar	g_of_very_ripe_roussillon_apricots	g_coconut_sugar	g_of_caster_sugar_if_you_do_not_find_coconut_sugar_	gelatin_coulis_leaves	grenade_handle	gr_of_almond_powder	gr_of_icing_sugar	g_of_brown_sugar_with_vanilla	grasse_rose_water	g_of_fresh__or_frozen__raspberries	g_of_gelsuc_sugar_for_jam	gr_of_powdered_sugar__to_tighten_the_whites_	g_of_alcoholic_essence_with_rose__even_a_liquor_	gr_coverage_ivory_to_default_from_the_nestl_é_white_dessert	g_whole_milk	g_orange_blossom_water	g_of_cake_crumbs__for_me_it_was_an_apple_cake_and_i_passed_everything_in_the_robot_to_have_almost_equal_crumbs_	g_of_fo_butter	g_black_horny_olives	g_sardines_in_olive_oil	g_box_of_cookies_	g_of_curaçao	g_foie_gras	g_of_non_salty_dissected_pistachios	gini_lemon	g_of_chocolate_spread	g_of_sugar_per_slice_in_the_pan_at_the_time_of_cooking	grand_marnier_tablespoon	g_liquid_caramel__bought_commercially_	g_starch_or_cornstarch	gr_of_device	g_well_ripe_apricots	g_of_unical_shaped_pistachios	g_strawberries_gariguettes	g_of_meringues	g_of_very_mature_strawberries	garigettes_carpaccio	g_of_meringues_flavored_with_strawberry_and_vanilla	g_of_raspberries_and_ditto_of_fresh_blackberries	g_of_nougatine	g_about_nougat_cream	g_sheep_s_bush_cream	g_of_sesame_seeds__more_if_necessary_	g_of_hazelnuts_with_the_skin	g_of_white_almonds	g_of_honey_d_acacia	g_of_aix_calissons	g_of_pistachios_without_the_skin	g_of_candied_fruit	g_of_peeled__divide__rolled_pistachios	g_of_acacia_flower_honey_or_a_thousand_flowers	g_of_non_salty_and_rolled_pistachios	glass_of_warm_water	gr_of_raspberries__fresh_or_frozen__add__a_raspberry_per_person	gr_of_fruits_confits	gr_of_worldly_pistachios	gr_of_tapered_pistachios	gr_of_honey	gr_of_whole_liquid_cream	g_of_heather_honey	g_of_green_pistachios	g_of_a_mixture_composed_of_strawberries__raspberries__redcurrants__cherries_and_blueberries	g_of_cocoa_chocolate_barry_sao_tom_é_green_pistachio_powder	g_of_candied_bigarreaux_cut_into_small_pieces	g_chopped_candied_orange_bark	g_of_fine_grilled_chopped_almonds	gr_of_candied_fruit__brunoise_	g_of_watermelon	g_of_mushroom
2431	100_g_of_sugar__add__50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2433	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2434	0	0	100_grams_of_sugar__i_used_50_gr_of_white_sugar_and_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2438	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2443	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2443	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2443	0	0	0	0	0	0	30g_of_caster_sugar__or_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2445	0	0	0	0	0	0	0	200_ml_of_liquid_cream_200_ml_of_coconut_milk_100_ml_of_milk_5_shaves_of_coconut_flower_powder_for_instantaneous_drink_the_mandorle_4_large_ripe_kiwis_with_60_sugar__40g__add__20_g__1_sachet_of_vanilla_sugar_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2451	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2455	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
