id	kg_of_tomatoes	kg_of_lamb__leg__jarret__necklace_	kinds_	kg_of_rice	kg_of_chicken_cutlets	kafir_leaves__combava_	kg_of_carrots	kg_d_oranges	kg_of_sucre	kg_of_unrealized_lemons	kg_of_powdered_sugar	kg_of_cherries	kg_of_strawberries	kg_of_apricots	kg_de_courgettes	kg_of_peas	kg_of_chickpeas	kirsch	kg_of_sweet_potatoes	kg_of_potato	kumquats	kg_of_apples	kg_of_pumpkin	kg_of_leek	kg_of_frozen_seafood_cocktail	kg_of_potatoes	kg_of_monkfish__medallion_	kg_of_seiches	kg	kg_of_octopus	kg_of_emptied_and_well_rinsed_octopuses	kg_of_poulpe	kg_of_crabs	kiwis_of_the_quality_landes	kecap_manis_càs	kg_of_namorado_net_without_the_skin_and_without_the_edges__or_another_white_fish_	kg_of_diced_white_fish_fillet	kg_of_jam_sugar	kg_of_rhubarb	kg_of_green_asparagus	knorr_currant_coulis_tablets	kubor_maggie	kg_d_asperges	kg_boot_with_the_leaves_and_the_odds_	kitchen_heat	kiwi	kg_of_farine	kiwis__or_other_fruits__apples__bananas___	kg_of_potatoes_princess_amandine	kg_of_bintje_potatoes	kg_of_potatoes_with_yellow_flesh__variety__bintje__asterix__almond__	kiri_or_other_melted_cheese	kg_of_cakes	kg_of_raw_prawns	kg_of_strawberry_to_macerate_one_night	kg_of_garden_raspberries	kg_of_fresh_raspberry_puree	kg_of_raspberries	kg_of_mangroves	kakis_sorbet	kg_of_apple	kiwis	kiwis_verts	kg_of_white_cabbage	kg_of_coarse_salt_with_seaweed	kidneys	kg_of_emonded_almonds	kg_of_sesame	kitchen_brush	kg_of_touraine_asparagus	kg_of_white_asparagus	kg_of_fish_nets	kampot_red_pepper	kg_of_very_ripe_tomatoes	kg_pumpkin	kg_of_ducks	kg_barbarism_duck	kg_apples	kg_of_new_turnip	kaffir_sheets	kg_of_duck_sleeves	kg_of_duck_fat	kg_of_washed_and_dissected_shrimp	kale_cabbage_shoots	kg_	kg_of_julienne_net	kg_of_shrimp	kg_of_sardines	kg_of_sardines__from_mediterranean_my_favorites_	kg_of_fresh_sardines	knorr_broth_cube_or_flavor	kg_of_hare_grips	kg_bindrevre	kg_of_pork_chest	kg_of_deer_saddle	kg_of_young_carrots	kg_of_deer_shoulder	kg_of_beef_roast	kg_of_raisins	kg_of_butter	kg_of_walnuts	kg_of_brown_sugar	kg_of_black_cherries	kg_of_quinces	kg_of_sauerkraut	kg_of_onions	knackis_package	knakis	ketchup	kg_of_minced_meat	kg_of_firm_potatoes_cut_into_rings	kg_of_jerusalem_artichoke	kiwi_piece	kirsch_or_alcohol__optional_
5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	400gr_of_mushrooms__i_had_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
