id	queues_of_prawns	quinces	qs_of_icing_sugar	qs_purchassed_puff_pastry	quarter_of_raw_milk_camembert_out_of_mercy	qs_cinnamon	qs_of_water	qspepper	quarter_pineapple	quinoa_mixture__coral_lenses	quail_eggs
33	12	0	0	0	0	0	0	0	0	0	0
223	0	2	0	0	0	0	0	0	0	0	0
250	0	0	N_S	0	0	0	0	0	0	0	0
250	0	0	0	N_S	0	0	0	0	0	0	0
470	0	0	0	0	1	0	0	0	0	0	0
515	0	0	0	0	0	N_S	0	0	0	0	0
741	0	0	0	0	0	0	N_S	0	0	0	0
1083	15	0	0	0	0	0	0	0	0	0	0
1149	0	0	0	0	0	0	0	N_S	0	0	0
1284	0	0	0	0	0	0	0	0	1	0	0
1677	0	0	0	0	0	0	0	0	0	N_S	0
1707	0	0	0	0	0	0	0	0	0	0	6
2042	0	0	0	0	0	0	0	0	0	0	8
2276	0	2	0	0	0	0	0	0	0	0	0
