id	ros_é_de_bretagne_prince_of_brittany_garlic_cloves	ras_el_hanout	ripe_tomatoes	rice_tea_glass	red_peppers	red_pepper	rolled_omelets	red_bean_rice	refroved_melted_butter	red_or_green_peppers__seeds_and_chopped	red_bell_pepper	reinette_apples_from_canada__small_	rhubarb_chips	rhubarb_rods	ripe_comice_pears	raspberries	red_onion	razing_teaspoon_of_strong_mustard	rouget_rumonde_fillets	rose_pralines	red_coloring	raspberry_coulis	raspberry_sauce	raspberry_tray	raspberry_trays	rose_almond_paste	rum_cap	raspberry_jam	raspberry	rolls_of_puff_pastry__or_homemade_	rum	red_dye_point	richesmonts_raclette_cheese	rolls_of_puff_pastry	royal_gala_apple	reims_cookies	red_and_vanilla_pepper_vinegar	red_onions	roquefort	roll_of_broken_pie_dough	ready_to_use_shortcrust_pastry	red_cane_sugar_or_brown_sugar	roll_of_shortbread	red_peppers_peeled_in_boxes	radish	rosemary	roll_of_puff_pastry	ripe_tomatoes_but_not_too_much	radis_roses	rice_tea_cups	red_pepper__without_glitch__coupe	red_pepper_in_rings	raw_shrimp_tails	roll_of_shortcrust_pastry	radish_top_boots	rolls_of_cannellonis	rapped_parmesan	rich_flour_type	ripe_bananas	roasted_hazelnut_powder	raspberry_sorbet_balls	razing_teaspoon_of_curry_madras	razing_teaspoon_of_garam_masala	rose_petals	rectangles_	roseval_potatoes	red_and_yellow_peppers	rice_for_sushi	radishes	red_mullet_fillets	redbarbet_fillets	red_mullets	red_mullet_fillets__depending_on_their_size	red_mullet_fillets__without_stop_	rice_flour	red_mullet	riz	ribs_of_lamb	reims_pink_cookies	raspberry_cambrai_nonsense	red_fruit_sorbet	russian_cigarettes	reduced_orange_juice	raspberry_coulis_and_divide_or_whole_raspberries_for_decoration	roquefort__according_to_your_taste_	russian_cigarette	ripe_apple__preferably_fuji_organic_	raspberry_dark_chocolate_medoc_chocolate_medoc	rassy_bread_slices	red_carrots	red_yellow_green_peppers	rigid_cardboard	red_coloring_or_pink_coloring	rose_syrup	red_coloring_for_pink_macaroons	red_coloring__optional_	raisin_handles	round_shortbreads_and_good_michel_and_augustin	rolled__grilled_and_crushed_almonds	ripe_peaches	racks_of_chorizo	roman_leaves	retrodor_wand	russian_cigarettes_at_will_to_soak	russian_cigarettes_delacre	roll_of_puff_pastry_cream_of_speculoos_powder_of_hazelnuts	red_food_coloring__some_drops_	rapped_nutmeg	reblochon	rocket	rolls_	rice_sheet_sheets	round_mill_pepper	rutabagas	red_pepper__previously_grilled_and_peeled_	rolled_puff_pastry	red_pepper__large_	riz_to_rival	risotto	rice_sheets	roasted_crushed_hazelnuts	raw_beet__or_cooked_if_you_only_have_that_	raw_foie_gras_stairs__duck_	red_curry_paste__preparation_to_buy_in_an_asian_grocery_store_	raisin_coffee_cup	red_shrimps_in_argentina	raw_shrimps	rap_é_cheddar	red_plums_pitted	roman_salad__ready_to_use__or_iceberg_or_lettuce	roman_salad	rabbit_giggles	rabbit_gigolette	rabbit_gratuments	rabbit_forwards__shoulders_or_swollen_	rabbit_thighs	rabbit_cut_into_pieces	royal_shrimp	ripe_but_firm_mango	red_rice_riz_mexicain	red_beans	red_cabbage	rabbit_or_chosen_pieces__gratbles__thighs_	roast_pork_net	roughly_crushed_pepper_according_to_your_taste	regular	red_fruit_jelly	royal_gala_apple_flesh	red_apples	racking_tablespoon_of_brown_sugar	red_powder_coloring	ribbons_candies_of_different_colors	rectangular_mold	raspberry_trays__blackberries__blueberries__depending_on_season_	round_puff_pastry	rassy_milk_rolls_or_remains_of_brioche__or_kougelhopf_	rusks	raspberry_syrup	rabachaou__chourave_	round_white_cabbage	raclette	rolls_of_pure_butter_puff_pastry	rectangular_puff_pastry	rehydrated_morels	ravioli_tray	reims_pink_cookie	roasted_coconut	rose_water	red_food_coloring	redhead	rose_jam	robotmalaxeur	ravioli	rap_tonka_bean	red_fruits
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
