id	tsp_yeast	tbsp_of_strawberry_jam	tbsp_of_chestnut_cream_clement_faugier	tbsp_hazelnut_oil	the_zest_of_two_oranges	tspto_sblond_cane_sugar	tbsp_dry_baking_baker	tspto_ssugar_bullet__s_	tbsp_of_breadcrumbs	tablespoons_of_milk_	teaspoon_of_vanilla_sugar	tablespoon_of_sofa_or_softened_margarine	tbsp_bully_with_grainy_hazelnuts__or_oatmeal_	tbsp_in_powdered_almonds__or_chopped_	tsppowdered	tsp_milk_	tbsp_almond	tbsp_of_kirsch	tbsp_of_candied_fruit_in_mini_dice	tbsp_icing_sugar__optional_	tbsp_of_cocoa_in_sweet_powder_van_houten	teaspoon_of_mixing_mapuche_indians	tbsp_in_powdered_ginger	tbsp_of_redcurrant_syrup	tspto_spineapple	trout_per_person	tbsp_cane_sugar_syrup	tsp_of_lemon_zest	tbsp_cherry_syrup	the_juice_of_a_lemon	tbsp_sherry_vinegar	tsp_cinnamon_powder	tbsp_of_honey_or_brown_sugar	tablespoons_of_the_fatty_confit	tin	thym_ail_laurier	tablespoons_of_grated_mozzarella	tablespoons_of_parmesan	tbsp_of_gruyère	tbsp_of_sarrazin_seeds	tbsp_of_rosemary_honey	tspto_sof_plain_yogurt	tspto_sraisin	tablespoons_of_cream	turnip__detailed_in_small_dice_	tbsp_shaded_with_finely_chopped_chops	tbsp_of_thick_crème_fraîche	thin_slices_of_ham_with_a_bone	thin_slices_of_smoked_country_ham	tspto_shazelnut_oil	thyme_rods	tbsp_of_soy_cream	tablespoons_of_grated_cheese	tspto_cof_almond_powder	tspto_sfreshly_grated_pecorino	tspto_cnut__s__of_nutmeg	tablespoons_of_grated_parmesan	tablespoons_of_breadcrumbs	the_zest_of_an_untreated_lemon	the_zest_and_the_juice_of_an_untreated_orange	tuberous_chervil	tbsp_of_saint_agur_cream	thin_slices_of_bread	tablespoons_of_liquid_cream	tspto_sof_chocolate	tspto_cmini_multicolored_balls	tspto_schocolate	tspto_clight_cream	tspto_sapricot_jam	tspto_cpear_brandy	thick_cream_jar	tbsp_of_forte_coffee	tbsp_vanilla_extract	tablet_of_dark_chocolate_or_milk_chocolate	tbsp_of_raspberry_syrup	tspto_smirabelle_brandy	the_sirup_	tablespoons_of_rosewater	tbsp_cold_milk	tbsp_rum__i_took_vanilla_rum__which_will_flavor_your_dough	tablespoons_of_brown_rum	tsprazing_of_agaragar	tbsp_of_white_rum	tbsp_of_honey__linden_	tsp_of_bitter_cocoa_powder	teaspoons_of_grated_coconut	tbsp_of_the_rose_aroma	teaspoons_of_jasmine	tsp_of_hibiscus_tea	tank_composition_drops	trays_of_fresh_raspberry	tbsp_of_curaçao_syrup__or_curaçao_liqueur__if_you_prefer_	tbsp_of_curaçao_liqueur	the_zest_of_an_untreated_orange	tspto_sgrand_marnier	tablespoon_of_icing_sugar	tablespoons_of_powdered_almonds	tbsp_grated_orange_zest	tbsp_quality_honey	the_coulis	tablespoons_of_honey__creamy_acacia_honey_and_mountain_honey_	tablespoons_of_rum	tbsp_of_amber_rum	tbsp_of_hazelnut_paste	tbsp_aloe_vera_liquid_honey	tbsp_of_candied_fruit	tbsp_of_raisins	the_red_fruit_coulis_	tbsp_of_lemon
2187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2191	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2192	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2197	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2198	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2200	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2202	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2216	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2220	0	0	0	0	0	0	0	0	0	2_divide_3_of_babeure_cup__replaced_by_2_tablespoons_of_fresh_cream_and_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2220	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
