id	untreated_oranges	untreated_lemon	unrealized_lemons	un_wasting_cash	undertred_oranges	unrealized_green_lemons	untreated_orange	umbred_prunes	unite	ursed_prunes
100	4	0	0	0	0	0	0	0	0	0
137	0	1	0	0	0	0	0	0	0	0
141	0	0	4	0	0	0	0	0	0	0
414	0	1	0	0	0	0	0	0	0	0
465	0	0	0	N_S	0	0	0	0	0	0
697	0	0	0	0	2	0	0	0	0	0
1178	0	0	4	0	0	0	0	0	0	0
1304	2	0	0	0	0	0	0	0	0	0
1311	2	0	0	0	0	0	0	0	0	0
1393	0	0	zest_of_2	0	0	0	0	0	0	0
1671	0	0	0	0	0	2	0	0	0	0
1913	0	1	0	0	0	0	0	0	0	0
1920	0	0	0	0	0	0	1	0	0	0
2004	0	0	0	0	0	0	0	250	0	0
2017	0	0	0	0	0	0	1	0	0	0
2098	12	0	0	0	0	0	0	0	0	0
2247	0	0	0	0	0	0	0	0	N_S	0
2280	0	0	0	0	0	0	0	0	0	8
