id	vinegar	vin_blanc_sec	vegetable_broth	vermicelli_handles__angels_hair_	violet_flowers_and_crystallized_mint_leaves_grocery_of_provence	verbena_leaves	vanilla_pod	vanilla_pods	vanilla_sachet	vanilla_or_vanilla_sugar_extract	veal_cutlets	vanilla_cloves_quai_sud_gold_leaf	vanilla_sugar	vanilla_or_liquid_vanilla_extract	vanilla	vanilla_or_vanilla_sugar_	vanilla_ice_cream	vanilla_pod_the_vanilla_box	vanilla_aroma	vermicelli	vinaigrette	vitelottes	vanilla_stick	very_ripe_avocado	very_ripe_mango	valençay	vanilla_syrup	vanilla_sugar_bag	vegetable_broth_cubes	vitalotte_poters	various_vegetables_for_broth	vegetable_broth_	very_fine_pancetta_slices	vegetable_broth_tablets	vanilla_raspberry_coulis	vanilla_sugar_bags	very_ripe_apricots	vanilla_ice_cream_balls	vanilla_powder	vanilla_extract_drop_or_liquid_vanilla	vegetable_broth_tablet	verbena	vanilla_extract	very_ripe_pears_or_syrup	veal_heart	very_juicy_pears	vanilla_pod_from_my_partner_kesoa	vanilla_rice_milk	vanilla_ice_cream_or_raspberry_sorbet	very_large_asparagus	very_small_drizzle_of_olive_oil	volumes_of_vegetable_broth	verre_de_porto	very_ripe_lawyers	vegetable_cube_broth	veal_stock	veal_roast_or_pork_net	very_oily_and_fleshy_vanilla_pods	vahin_é_caramelized_nuggets	vanilla_cream	violets	veal_shank	very_ripe_mangoes	vanilla_pod__it_seems_that_mr_guerlain_only_uses_mayotte_vanilla_to_make_his_prestigious_perfumes_and_well__it_s_the_same__except_that_in_addition_to_the_perfume__there_is_the_taste_andmatter_	vanilla_ice_cream_bin	vanilla_pod__failing_the_aroma_	vanilla_foam	vitalotte_poat	vanilla_pod__preferably_tahiti_
24	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	0	N_S + N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
