id	wasabi_sesame_seeds	water_glasses	white_asparagal_boot	water__flat__or_sparkling	water_obviously	water_tea_glasses	white_moulin_pepper	whole_egg	whole_organic_mandarins__wash_the_skin_well_	washers_	wooden_peaks	whole_eggs	whole_milk_yogurt	with_icing_or_white_chocolate_sugar	whipping_cream	whipped_cream	white_cheese_mousse	white_rum	water_for_caramel	whole_apples	white_sausages	whiskey_caps	white_pudding_from_rethel__les_ardennes_	white_pudding_from_rethel__in_maroilles	white_sausage	white_sausage__mine_come_from_demoizet	west_indian_sausages	white_truffle_sausage	west_indian_sausage__small_	white_sausages_cut_into_slices	white_onion	walnut_kernels	white_nougat_cream	white_wine	water__calamars_juice_	wavy_chips	watercress_boot	wasabi_yellow_and_green	washed_and_peeled_carrots	washed_and_sliced_leek	whole_chicken__or_chicken_breasts_or_chicken_thighs	whites_	whites__supreme__chicken	white_pepper	whimsical_nets	white_paper_boxes__pink_ribbon__pink_silk_paper__pink_pralines__gold_leaf	wheat_flour_or_other_types_of_flour	well_mature_bananas	walnut_kernel	wooden_spikes	white_or_black_chocolate_tablet	whole_slices_for_gourmets_	wheat_cake	what_the_cheesches_de_decorino_parmigiano_orzella_	white_velvet_spray	werther_s_original	white_rum__optional_	with_equal_proportions_	williams_pears	white_rum_volumes	wine_vinegar	wheat_flour	white_powder_coloring__titanium_dioxide_	white_chocolate	with_this_dosage__it_will_be_quite_a_bit_what_i_do__i_put_it_in_pots_then_in_the_fridge__children_love_it_otherwise__i_read_that_the_pastry_cream_was_free_of_charge_	well_done_camembert	white_asparagus	whites_for_a_next_batch_of_macaroons_	whites__lighter_	white_sugar	wepion_strawberry_tray	white_fondant	white	where_did_you_pray	white_turnips	whole_canned_chestnuts_in_natural	whole_rabbit_prepared_and_cut_into_pieces	white_cabbage	white_peaches	whole_rabbit_cut_into_pieces	whole_rabbit_cut	waltz_of_apples	white_frosting	with_the_same_pot_	white_chocolate_mousse	whites	white_chocolate_for_decoration	white_nectarines	whole_beaten_egg	wheat_flour__semi_complete_or_kiss_	we_replace_the_sugar_with_honey_and_water_with_vouvray_	whipped_cream_or_confit_apricots_at_will	white_sugar_paste	white_chocolate_shavings	whisk	white_chocolate_shavings__optional_	whipped_egg_white_fork	wooden_sticks
39	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	0	0	0	0	0	0	0	0	0	1_box_of_pineapple_in_slices__8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251	0	0	0	0	0	0	0	0	0	0	0	4_egg_yolks_and_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
