id	dark_chocolate_sticks_	drops_of_vanilla_extract	d_écor__	daurade_ornaments	divide__person_	depending_on_the_number_of_people_	dl_of_liquid_cream	dry_goat_cheese_growing	depending_on_the_tastes	dill	drops	drops_of_tabasco	dozen_crushed_ice_cubes	du_curry	dried_thyme_powder	dried_tomatoes	dl_of_fish_fume	days_	de_deer	deer_liver	drops_of_vanilla_gasoline	drops_of_blue_	dough_	doses_of_safran	do_the_business_very_well_	dark_chocolate_or_milk_chocolate	drops_of_bergamot_essential_oil	dl_of_milk	decoration	duck_breasts	dl_of_chicken_broth	dl_d_huile_d_olive	dried_tomato_petals	dl_of_thick_cream	dl_balsamic_vinegar	dl_huile_d_olive	dl_of_white_wine_vinegar	duck_duck_breast	dumplings	deco_	dried_oregano	dozen_peeled_shrimps__keep_only_the_tail_	dose_of_safran	dl_of_dry_white_wine	dl_of_tomato_sauce	dough_sheets_in_ravioli	dl_of_oil	dried_tomato	dry_roasted_sesame_for_decoration	dl_of_fine_champagne	dice_cheese	dl_of_sake__or_dry_sherry__noilly_prat__dry_vermouth__	dl_coconut_milk	dl_of_fresh_cream	dl_of_coconut_milk	drops_of_the_bombay_composition	dried_thyme	dry_figs	dry_apricots	dlliquid_cream	dose_of_cognac	dl_of_a_lyophilized_veal	dl_of_whole_cream	dried_dressed_tomatoes	dry_fennel_seeds	dill_straps	dried_chili_flakes	dill_stems	dimensions	degerm_é_garlic_cloves	drops_of_yellow_coloring	drops_of_green_dye	dried_fruits	dough	diamond_shaped_boxes	dates	drops_of_pistachio_flavor	deposit_black_olives	dry_baker_s_yeast	dose_bag_for_francine_brioche	dl_raspberry_liquor__optional_	dl_sucre	dl_film_milk	dl_of_flour	dark_chocolate	dice_fresh_cheese_with_herbs	dl_tomato_sauce	dry_lasagna_leaves	drizzle_of_large_salmon_fillets	d_énoyal_ée_black_olives	d_olive	drops_of_liquid_smoke	divide_l_of_peanut_oil	death_trumpets__rehydrate_them_if_you_use_the_dryers_	dried_oil_tomatoes	dozen	dry_people	dried_basil	dl_of_haute_provence_olive_oil	dl_of_porto	dl_of_tomato_coulis	diced_eggplant	deer_pavers	dl_of_white_wine	duck_breast	duck_legs	duck_duck_breasts__also_called_chest__ask_your_poultry_	duck_needles	depending_on_the_taste	dcl_of_mature_cream	dozen_cooked_snails	dozen_burgundy_snails	drained_anchovies__gelatin_leaves	darling_potatoes	duck_fat	delpeyrat_confit_duck_legs	dark_chocolate_dessert	dry_fruit_mixture	dressing__roquette__pin_pine_nuts__a_piece_of_old_mimolette	de_saumon	dl_of_broth	dessert_chocolate_brochure	dried_tomatoes_marinated_in_olive_oil	dose_of_rice_vinegar	da_arachide_oil	duck_carcass__or_failing_that_a_thigh_	duck_duck_breasts_or_duck_sharpeners__poeled_	diced_beets	dolwen_potato__big_	dolwen_potatoes	dipped_gelatin_leaf	dl_of_whipping_cream	dolwen_potatoes__medium_	dried_strawberries__add__raspberries	drops_of_true_lavender_oil	dried_tomato_cut_into_small_dice	dried_morels	diced_potatoes	delicious	dried_or_candied_tomato_petals	drops_of_pink_coloring	dark_chocolate_nugget	drops_of_barbapapa_aroma
2	1_sachet_of_chocolate_pebbles__or_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	leeks__1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	0	0	0	0	0	0	0	0	3_half_pears_or_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
