id	kirsch	kg	kg_of_mushrooms	kg_of_tomatoes	kg_of_molds	kg_of_endives	kg_of_fresh_cream_a__paisse	kg_of_onions	kg_of_minced_onions__or_frozen	kg_of_potatoes_type_binje	kg_of_veal_square	kg_of_sucre	kg_of_apples	kg_of_mirabelles	kg_of_vegetables__zucchini__peppers__carrots__mushrooms__etc__depending_on_what_you_have_and_your_imagination	kg_of_potatoes	kg_of_boned_deer	kg_of_fatty_chest	kg_of_hidden_steak_horse	kg_of_deer	kg_of_duck_fat	kg_firm_potatoes__pink_val_or_darling_	kg_of_sugar_	kg_of_gu_érande_salt	kg_of_lamb__leg__jarret__necklace_	kg_of_veal_jarret	knorr_cube_broth	knife_peaks_with_powdered_yellow_coloring	kg_de_dolwen	kg_of_vitelotte_potatoes	kg_of_lamb_shoulder	kilo_of_fresh_figs	kg_of_small_new_potatoes__or_firm_flesh__frog_type_	kg_of_firm_potatoes	kg_queue_of_bazas_bazas	kg_of_poultry_gizzards	kg_d_haricots	kg_farm_poultry	kg_of_prawns	kg_of_waste__heads__tails__edges__shells___of_white_flesh_and_divide_or_crustaceans_fish	kg_of_nutmeg_cut_into_small_cubes	kg_of_prawns__large	kg_of_large_raw_shrimps	kg_of_shrimp	kg_of_raclette_cheese	kg_of_monkfish__in_one_piece	kg_of_sweet_potatoes_of_different_colors__purple__orange_and_white	kg_of_cod_darnes	kg_monkfish	kg_of_frozen__cheaper_and_faster__or_fresh_jackets	kg_of_monkfish_tails_cut_into_pieces	ketchup	kg_of_cèpes	kg_of_chicken_nets	kg_of_beef_cheeks	kg_of_carp_ready_to_cook	kg_of_freshwater_fish__eel__perhe__carp__tanche_	kg_carp_or_other_large_fish	kg_de_pâtes_rechta	kg_of_turnips	kg_of_chickens	kg_of_sweet_potatoes	kitchen_food_thread	kg_of_beef_dimensions	kg_of_beef	kg_of_puff_pastry	kick_beef_fillet	kg_of_beef_nets	kg_of_beef_roast	kg_of_beef_roast_in_the_round_eye	kiwi	kg_of_carrots	knackis	kg_of_bintje_potatoes	kg_moors_poultry	kg_beef_coast_with_its_handle	kumkats	kg_of_mash_potatoes	kg_of_green_beans	kg__keep_the_bone_	ker_cad_élac_breton_breton_galettes	kiwis	kg_of_pastry_cream	kg_of_cognac_xo	kg_of_cigar_powder	kg_of_farine	kg_of_blank_powder	kg_of_vanilla_pod	kadaif_with_pistachios	kg_of_bone_free_veal_hock__cut_into_pieces	kg_of_courgette	kg_of_carrot	kg_they_hub	kg_of_fine_semolina	kg_of_pumpkin	kg_of_frozen_seafood_cocktails	kg_of_very_ripe_tomatoes	kg_of_sausages	knorr_parsley_ail_seasoning_cube	kg_of_chicken_wings	kg_of_chicken__eg_wings__fins__pests_	kg_of_leeks	kg_empty_ready_to_cook	kg_roast_pork	kg_environment	kg_of_frozen_langoustine_queux	kg_of_langoustines	kg_of_plantain	kg_of_potato	kg_cabbage	kernels_for_decoration	kg_of_veal_roast	kg_thick_sel	kg_of_fresh_porcini_mushrooms	kg_of_semisalted_pallets	kg_approximately	kg_of_veal_ris	kg_of_almost_veal	kg_de_courgettes	kg_of_boneless_lamb_shoulder_and_cut_into_medium_pieces	kampot_white_salt_and_white_pepper	kg_of_zucchini_in_rings	kg_of_zucchini	kg_of_clams	kg_of_whole_bar	knorr_veal_broth_cube	kg_of_squash_cut_into_small_pieces	kg_pods_of_peas	kg_of_forest_mushrooms__ex__porcini_mushrooms__chanterelles__etc_	kg_of_prunes	kg_of_powdered_sugar	kg_of_grenailles_or_new_potato_by_noirmoutier	kg_of_potatoes_type_bintje_or_agata	kombu_algae__perfume_and_improves_the_cooking_of_rice_	kg_of_large_norge_raw_shrimps	kg_of_potatoes_with_firm_flesh__peeled_and_cut_into_rings	kg_of_stale_bread__brioche_etc	kg_of_salum_é_pork_dish	kg_of_amandine_princess	kg_of_pork_rolls	kg_of_dolwen_potatoes	kg_of_mangetter_green_beans	kg_coastline	kg_of_coconut_beans_in_pods
3	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	1_monkfish_tail_of_about_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
