id	untreated_orange	unpleasant_garlic_cloves	unwell	untreated_oranges	untreated_lemon	ure_dents	unrealized_lemons	unsaled_peanuts	uncommon_emonded_pistachios	ugly_beurre	untreated_lemon_zest	untreated_whole_orange
186	1	0	0	0	0	0	0	0	0	0	0	0
231	0	3	0	0	0	0	0	0	0	0	0	0
440	0	0	N_S	0	0	0	0	0	0	0	0	0
673	1	0	0	0	0	0	0	0	0	0	0	0
736	0	0	0	2	0	0	0	0	0	0	0	0
736	0	0	0	0	1	0	0	0	0	0	0	0
802	0	0	0	0	0	N_S	0	0	0	0	0	0
836	0	0	0	0	0	0	2	0	0	0	0	0
1114	0	0	0	0	0	0	0	N_S	0	0	0	0
1124	0	0	0	0	0	0	2	0	0	0	0	0
1125	0	0	0	0	the_zest_of_1_divide_2	0	0	0	0	0	0	0
1213	0	0	0	0	0	0	0	0	N_S	0	0	0
1226	0	0	0	0	0	0	grated_zest_of_2	0	0	0	0	0
1291	0	0	0	0	1	0	0	0	0	0	0	0
1406	the_zest_of_1	0	0	0	0	0	0	0	0	0	0	0
1410	0	0	0	0	0	0	0	0	0	75	0	0
1450	0	0	0	0	0	0	0	0	0	0	1	0
1669	1	0	0	0	0	0	0	0	0	0	0	0
1669	0	0	0	0	1	0	0	0	0	0	0	0
1892	0	0	0	0	zest_of_1	0	0	0	0	0	0	0
1897	0	0	0	0	1	0	0	0	0	0	0	0
1907	0	0	0	0	1	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0	0	0	0	N_S	0
1986	0	0	0	0	0	0	2	0	0	0	0	0
2021	0	0	0	0	0	0	2	0	0	0	0	0
2042	0	0	0	0	1	0	0	0	0	0	0	0
2294	0	0	0	0	0	0	0	0	0	0	0	1
2390	0	0	0	zest_of_3	0	0	0	0	0	0	0	0
