id	vanilla_extract_drop_or_liquid_vanilla	vanilla_pod	vanilla_stick_for_its_pulp	vegetable_millefeuille	vanilla_powder	vanilla_milk_rice_	vinaigrette	veal_squares	vinegar	veal_bone	vanilla_sachet	vanilla_pods	vanilla_sugar	vanilla_flan_sachet_flan_de_france	vanilla_drop	vermicelli	vanilla_pod_from_madagascar	vanilla_burnt_cream	vanilla	very_mature_plums	vegetables_soup	vegetable_broth_or_chicken_broth	vinaigrette_and_basil_tomato	velvety_natural_yogurts	vin	vanilla_salt	very_large	vanilla_pod__salt_and_pepper	velvety_yogurts	vial__empty_wine__of_water	vial_of_dry_white_wine	vinaigrette_	very_mature_fresh_mangoes	very_fine_chicken_cutlets_or_turkey_cutlet	vegetable_oil_or_smen	vanilla_or_liquid_vanilla_extract	very_ripe_avocado	verre_de_porto	very_small_potato	very_small_carrots	very_small_white_onion	vinaiges_and	vegetables__	very_mature_pears	veal_or_poultry_background	very_ripe_comice_or_conference	very_ripe_apricots	very_dry_picodon	vegetarian_sausages__or_strasbourg_sausages_for_non_vegetarians_	vegetable_garnish_depending_on_the_season	very_fine_veal_cutlets	veal_cutlets	veal_saut_éed_slices	vitalotte_poters	virgin_sunflower_oil__salt_and_pepper	vanilla_extract	vahin_é_gelatine_raspberry_coulis_bottle__add__strawberry_siropois	vanilla_custard	volume_of_butter	volumes_of_fine_semolina	vegetable_oil	vanilla_pod__split_in_length	very_finely_chopped_lemon_zest_or_a_few_drops_of_lemon_extract	volumes_of_water_	very_fleshy_and_moderately_ripe_tomatoes	vanilla_pod_or_liquid_vanilla_extract	vanilla_sugar_bags	verrines	viper_eggs__eggs_	virgin_olive_oil	vegetarian_pepper	veal_foot_split_in_half	vinegar_and_tomato_pulp__pepper_and_espelette_clovis_pepper	varied_spices__cumin_and_ras_el_hanout_	velvet_or_balsamic_caramel	veal_feet	vin_blanc_sec	veal_cutlet_in_the_nut	vanilla_flavor	vacuum_beet	very_fruity_olive_oil	veal_pieces	vitelottes	veal_stock	vanilla_peaches_compote	vanilla_aroma	volumes_of_sugar	volume_of_cornstarch_starch	very_fresh_salmon_steaks	very_ripe_mango	vegetable_broth_tablets	vegetable_cube	vanilla_sachets	vanilla_ice_cream	vanilla_ice_cream_balls	very_thin_slices_of_grilled_country_wand_with_olive_oil	vanilla_ice_cream_dumplings
9	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	1_divide_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	0	1_divide_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
