id	zest_of_a_big_organic_orange	zest_of_a_little_lemon	zucchini_cut_into_strips	zucchini_following_size	zucchini_flowers	zucchini__cut_into_rings_in_the_diagonal	zest_of_half_orange_and_half_lemon__add__the_juices	zucchini	zucchini_cut_into_thin_slices	zucchini_following_guests	zucchini__small_	zucchini__quantity_according_to_your_tastes_
68	N_S	0	0	0	0	0	0	0	0	0	0	0
408	0	N_S	0	0	0	0	0	0	0	0	0	0
681	0	0	1_red_pepper_and_1	0	0	0	0	0	0	0	0	0
691	0	0	0	56	0	0	0	0	0	0	0	0
711	0	0	0	0	20	0	0	0	0	0	0	0
970	0	0	0	0	0	2	0	0	0	0	0	0
1243	0	0	0	0	0	0	N_S	0	0	0	0	0
1526	0	0	0	0	0	0	0	4_to_5	0	0	0	0
1565	0	0	0	0	0	0	0	0	1	0	0	0
1772	0	0	0	0	0	0	0	0	0	N_S	0	0
1795	0	0	0	0	0	0	0	0	0	0	3	0
1968	0	0	0	0	0	0	0	0	0	0	4	0
1979	0	0	0	0	0	0	0	0	0	0	0	N_S
