id	_⅓_l_of_poultry_or_vegetable_broth	_œurfs	_¼_boot_of_chives	_g	_¾_liter_of_water	_¼_untreated_orange_bark	_	_¼_sachet_of_baking_powder	_¼_cl_of_vanilla_or_liquid_vanilla_extract	_œufs	_¼_l_of_milk	_¾_rice_cups	_¼_tspto_csweet_paprika	_¼_tspto_cblack_pepper	_¼_cucumber	_œ_to_cstrong_paprika_tea	_¼_to__half__tspstrong_paprika_tea	_⅘_l_of_milk	_¼_red_pepper__for_decoration_	_¼_maroilles	_¼_candied_lemon__optional_	_¾_pot_of_melted_butter	_¾_l_of_beef	_¼_pumpkin	_¼_tsp_of_salt	_¼_baker_s_yeast	_ère_sauce	_⅖_l_of_fresh_cream	_⅕_kg_of_foie_gras	_¼_red_onion	_¼_tspto_cmustard	_¼_tspto_crosemary	_¼_tspto_ccumin_powder	_¼_l_red_wine	_¼_vanilla_pod	_¼_chicken_broth	_¼_tspto_ccinnamon	_¼_teaspoon_of_nutmeg	_¼_teaspoon_salt	_¼_tspto_cbaking	_¼_tspto_csodium_bicarbonate	_¼_c_for_end_of_the_sea	_¼_c_for_black_pepper_from_the_mill	_¼_of_diced_green_pepper	_¼_tspto_cfrom_tabasco	_¼_l_of_water	_¼_coriander_boot	_c	_¼_l_of_white_wine	_¼_vanilla_pod__grains_only_	_¼_parsley_boot	_¼_white_cabbage	_¼_boot_of_parsley	_¼_liter_of_cream	_¼_liter_of_potato_cooking	_¼_liter_of_lobster_fume	_¼_liter_of_lobster	_¼_bouquet_of_thyme	_¾_l_of_milk	_¼_celebrirave	_¼_tspto_cof_salt_or_fine_salt	_௪_pommes_royal_gala	_¼_onion
72	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	0	0	0	1_natural_tuna_box_of_200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
219	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
228	0	0	0	a_large_nut_melted_about_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
297	0	0	0	1_duck_liver_of_500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
327	0	0	0	0	0	0	170_g_semicomplete_wheat_flour__t110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
385	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
