id	name	host	link	time	yeild	photo	nutrients	instructions	number_ingredients
1	Tiramisu chocolat noir aux écorces d_oranges confites	750g.com	https://www.750g.com/tiramisu-chocolat-noir-aux-ecorces-doranges-confites-r82143.htm	20	10 servings	https://static.750g.com/images/600-600/875b1edadbe0480683ca0662a8a0582f/tiramisu-chocolat-noir-aux-ecorces-d-oranges-confites.jpeg	not_given	Step 1 :Melt in a bain -marie chocolate with orange zest and its juice. Once melted, add 1 tsp to Grand Marnier and let cool. Whisk the 4 egg yolks with the icing sugar until the mixture whitens and becomes frothy _I make the preparation with the robot fitted with the whisk_. 2nd step :Add the mascarpone and mix everything. Share the preparation in two equal parts and put them each in a bowl. Mix the chocolate in one of the bowls. Prepare a very strong coffee, add the other spoon of Grand Marnier, mix. Step 3:Raise the whites until stiff by adding a pinch of salt, put in equal in each of the salad bowls, mix gently without breaking them. In your dish put a layer of cookies soaked in coffee, spread a layer of chocolate cream, then cover with the second mascarpone cream. Step 4:Repeat the operation by finishing with a layer of mascarpone cream. Put in the refrigerator at least 6 hours. Sprinkle with bitter cocoa powder when serving. I advise you to prepare it the day before.	9
2	Tiramisu aux deux chocolats	750g.com	https://www.750g.com/tiramisu-aux-deux-chocolats-r20253.htm	30	4 servings	https://static.750g.com/images/600-600/ca90df382bd99c98826b3634e247adf4/tiramisu-aux-deux-chocolats.jpg	not_given	Step 1 :1- With the mixer, beat the egg whites _add a pinch of salt to raise them_ 2- During this time, in a bowl, mix with a spoon the mascarpone, the two white dessert galak and two tablespoons of Sugar.3- When the egg whites are mounted, incorporate them into the Mascarpone mixture of the bowl _do not whisk the mixture so as not to fall back the eggs, use a wooden spoon or a spatula_ 4- in your cafe _ Rather cooled_, add a tablespoon of sugar and the two teaspoons of Cointreau. 5- In your cuts, place a cookie _broken in two or three depending on the shape of your cut_ that you will have quickly dipped in the mixture coffee. 6- Add over two tablespoons of the White Mascarpone-Chocolate mixture- melt your dark chocolate in the microwave and then add your cream. 8- Put a thin layer of dark chocolate in your cuts. 9 - Repeat while alternating the cookie-mascarpone layers - Black chocolate but be sure to finish with a layer of mascarpone10- Sprinkle with a little cocoa for decoration.	11
3	Délice de fraises aux petits suisses, tiramisu	750g.com	https://www.750g.com/delice-de-fraises-aux-petits-suisses-tiramisu-r85717.htm	25	4 servings	https://static.750g.com/images/600-600/e382db5d18a870e56c31eec96251e8e4/delice-de-fraises-aux-petits-suisses-tiramisu.jpeg	not_given	Step 1 :Rinse the strawberries in reserving 6 small for decoration.Hike and cut into strips.The others, water them with the juice of the pressed oranges, the orange blossom, the vanilla sugar and the kirsch, leave to marinate at least 30 min in the fridge.2nd step :Whisk the little-Swiss, the cream, 60 g of sugar.Mount the egg white by snow by adding the remaining 20 g of sugar at the end.Gently incorporate it into the previous preparation and reserve in the fridge.Coarsely crumble the cookies and distribute half in the bottom of a transparent cut.Step 3:Cover with a layer of strawberries with a little of their juice and a layer of cream.Renew the operation once.Decorate with roasted and roughly mixed pistachios.Refrigerate at least 2 hours.Decorate reserved strawberries cut into strips and serve.	11
4	Tiramisu margeritta	750g.com	https://www.750g.com/tiramisu-margeritta-r57728.htm	30	6 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Mix the sugar with the egg yolks, add the zest of a lemon grate finely get a frothy mixture and add the mascarpone beat the whites into firm snow gently incorporate into the yellow and sugar mixture.2nd step :Mix the 3 Cointreau liquids, _or other orange but sweet alcohol style_ Tequilla and lemon juice, dip the cookies and garnish like a classic tiramisu or according to the desire.Decorate with lemon zest finely grate and leave in the fridge 4Hbon appetite.	7
5	Tiramisu pomme et spéculoos	750g.com	https://www.750g.com/tiramisu-pomme-et-speculoos-r76989.htm	40	3 servings	https://static.750g.com/images/600-600/3924f1cf5ac03afdef8e8ff7e86eaffb/tiramisu-pomme-et-speculoos.jpeg	not_given	Step 1 :Cook in a saucepan, covered and over low heat, the apples peeled and diced with lemon zest, cinnamon, ginger, and water.When the apples become melting, add the calvados and the tablespoon of sugar, mix, cook a little, then remove the zest and let cool.2nd step :Tour of the cream now!Whisk the egg yolks with the sugar, until the mixture whitens, add the mascarpone.Mount the egg whites until stiff and incorporate them into the Mascarpone cream.Step 3:Garnish glasses, a little cream, apples, crushed speculoos, apples and mascarpone cream.Close the glasses of a film and place in the fridge at least 2 hours.Step 4:Before serving, sprinkle with crushed speculoos and apple strips.Good tasting.	11
6	Tiramisu à la pomme et aux spéculoos	750g.com	https://www.750g.com/tiramisu-a-la-pomme-et-aux-speculoos-r25299.htm	20	4 servings	https://static.750g.com/images/600-600/e614ff5bf3abc5bc1f97d8f05034835f/tiramisu-a-la-pomme-et-aux-speculoos.jpg	not_given	Step 1 :Whisk the mascarpone with sugar and cottage cheese.2nd step :Peel one of the two apples and cut the apples into small dice.Step 3:Coarsely crumble the speculoos.Step 4:Prepare your tiramisu glasses by alternating a layer of speculoos, a layer of cream, a layer of apple, a layer of cream and finish with diced apples.Step 5:Sprinkle with a few speculoos crumbs. Make cool before tasting.	5
7	Tiramisu pommes caramélisées	750g.com	https://www.750g.com/tiramisu-pommes-caramelisees-r58751.htm	30	6 servings	https://static.750g.com/images/600-600/c772bd28a3be51c8be5625e54f1973e9/tiramisu-pommes-caramelisees.png	not_given	Step 1 :Peel and cut the apples in slices.In a frying pan put 50g of sugar and wet with a little water. Bring to a boil until the sugar transforms into caramel.When it has a pretty golden color, put the apple slices, stir and cook over medium heat until they are tender.2nd step :Separate the white from the egg yolks.Whisk the 100g of powdered sugar with the egg yolks until the mixture whitens.Add the mascarpone and keep mixing.Mount the egg whites and incorporate it gently into the device.Step 3:Break in each verrine 2 speculos, then add slices of caramelized apples and cover with the mascarpone mixture. Look in the refrigerator for several hours, the day before is best.	5
8	Tiramisu saveur tofou et rhum	750g.com	https://www.750g.com/tiramisu-belge-r75704.htm	45	6 servings	https://static.750g.com/images/600-600/b88c2d82d94836b01598bebed9d3954f/tiramisu-belge.jpeg	not_given	Step 1 :Mix the tofu to obtain a smooth and soft texture.Peel, cut into small cubes and brown the apples in a large knob of butter.2nd step :Add the sugar and cook for 15 min before mixing with the tofu.On a plate, pour coffee and rum before quickly dipping speculoos.Step 3:Then place them gently in verrines and add the tofu / apple cream.Overlap a few soaked cookies again, cover with the rest of the cream then sprinkle with powder chocolate.Step 4:Let the verrines rest for a few hours in the fridge.	6
9	Tiramisu light au pommes caramélisées	750g.com	https://www.750g.com/tiramisu-light-au-pommes-caramelisees-r36339.htm	45	6 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :For the apples. Take the apples and cut them in dice. In a pan, make a caramel with the sugar, then add a good pinch of salt. Add the apples and coat them with this caramel and cook for 8 to 10 minutes.To book.2nd step :For the cream: Meanwhile, separate the white from the egg yolk, mix the yellow with the Swiss small, the sugar _or sweetening_, and the vanilla extract. As the mixture and uniform, add the white D_Egg mounted in very firm snow.Step 3:Dressing: draw up in a glass, go up in successive layers. Ascertain by the apples and then the cream.Repeat the operation to the top of the glass.Step 4:For gourmets who are not on a diet you can make a separate caramel cream: melt the sugar to obtain a caramel.Decuire with the cream and set aside.	7
10	Galette aux pommes de terre et Boursin	750g.com	https://www.750g.com/galette-aux-pommes-de-terre-et-boursin-r81804.htm	140.0	6 servings	https://static.750g.com/images/600-600/809e1fcdb672e72143eda9a716dbbca3/galette-aux-pommes-de-terre-et-boursin.jpeg	not_given	Step 1 :In a large bowl, mix the potato puree with the flour. Incorporate the flour well into the puree. 2nd step :When the mixture becomes sandy, dig a hole and pour the egg yolk and the small-Swiss. And knead with the hands until the mixture is no longer sticky and forms in a ball. Step 3:Wrap the dough and let it cool in the fridge for an hour. Meanwhile prepare the butter in a parchment paper and flatten it with a rolling pin. Reserve at room temperature. Step 4:Take out the dough and spread it in a rectangle. Place the butter on the central part and cover with the lower part of the dough then the upper part. Turn the dough a quarter of a turn and flatten it with the roller. Fold the upper part, then the lower part and turn a quarter of a turn again. Step 5:Repeat the operation 4 times, if necessary put the dough in the fridge _20 minutes between each display_ if it is a little hot in the room. Spread one last time and separate the dough into two rectangles of the same size. Step 6:Preheat the oven to 190 ° C. Spread on the first dough with burst of garlic kitchen and fine herbs evenly. Gently cover with the second dough. Cut rectangles of dough with a sharp knife and place on a baking sheet. Step 7:Browning the egg twice and tracing a shallow streaks on the pancakes. Bake for about 20 minutes. Serve warm or hot.	9
