id	folds	fleur_de_sel	fine_semolina	fresh_thyme_branches	farine_bio	fresh_cream	frying_oil	finely_chopped_shallot	fresh_chives	four_spices	filet_de_haddock	flat_oysters	fresh_mint	freshly_ground_black_pepper	fine_chicken_or_turkey_cutlets	finely_minced_paris_mushrooms	frying_bath	foie_gras	fresh_basil__optional_	fine_pancetta_slices	fresh_goat_cheese	faluches__or_round_rolls__or_slices_of_bread__	farce__	flour	flour_for_the_work_plan	for_the_mold	filet_d_huile_d_olive	fat_for_the_dish	flageolet_boxes	finely_grated__half__lemon_zest	fresh_basilic	fresh_foie_gras_cutlets	finishing	fig	fig_compote	fig_oil	fresh_duck_foie_gras_purchased_from_your_butcher_preferably_preferably	from_c_with_ground_pepper	from_c_to_c_of_ground_ginger	from_c_to_c_cinnamon_powder	feuille_d_or	farine_jars	fresh_herbs	fleur_the_sel__pm	fennel_seeds	fennel_bulb	fresh_ginger	fresh_figs	frozen_panga_fillets	frankfurt_sausages	fresh_broccoli	fresh_apricots	fresh_parsley	filo_pastry_sheets	figues	figures	fig_jam	fennel	french_fries	fresh_cheese_type_cow_that_laughs	fish_of_extra_fresh_choice_	fresh_salmon_steaks	fresh_garlic_and_fine_herb_squares	fresh_tomatoes	fish_fillets	fresh_verbena_leaves	frozen_raw_duck_foie_gras	fisheries_in_syrup	finely_minced_shallots	ferrero_rock_chocolate_rock_chocolate_and_hazelnut	ferrero_rochers	frozen_raspberry	food_bicarbonate	from_kiwi_jam	fresh_coriander	fresh_thyme	fillet_of_chicken_nets	fresh_pears_cut_in_half	frozen	fine_slices_of_gingerbread	food_coloring	frozen_water	from_c_to_c_of_salt	fennel_bulb__small_	fresh_liquid_cream	fresh_pineapple	far_de_pulco	fresh_basil	full_wheat_crackers	fresh_or_dry_aromatic_herbs	fresh_cheese	fresh_mint_heads	fresh	fresh_fresh_cheese_fresh_or_saint_môret	fresh_squares	flat_spaghetti_package	fresh_basil_leaves	fresh_mint_sorbet	fruit_paste	florida_grapefruit	fruits	flour_	fat_for_ramekins	fresh_dill	fondant	fruit_trays	fruits_delights	flour_if_necessary	full_sesame	fenouillettes__small_bombs_of_fennel_seeds_covered_red_and_white_	food_glitter	fine_pinch_of_fleur_de_sel	flour_for_mussels	firm_natural_yogurt	finely_chopped_shallots	finely_chopped_garlic_cloves	fishing	fairly_ripe_banana	food_coloring__liquid_	frosting_	fresh_fruit_or_jam	fat_bomb	fine_zest_of_an_untreated_lemon	fresh_verbena_leaf	flavor_tablets	frozen_chestnuts__possible_purchase_in_frozen_	feta_in_oil_cubes	for_decoration_	feta_diced_herbs	fresh_bread_dice	fine_slices_of_chest_bacon	fine_slices_of_lomo_casino_saveurs_elsewhere	flat_cheese_trays_st_môret	fresh_onion_boot	frozen_red_fruit	flower_honey	fresh_goat	five_branches_of_flat_parsley	flour_to_flour_the_sausages	fresh_square_cheeses	fennel__small_	flat_parsley_boot	frozen_artichoke_funds	fresh_goat_cheese_pallets	fleur	fresh_fruits_to_peel_and_dice_	fresh_eggs	flaked_almonds	flower_of_salt__some_grain_	frozen_cherches	flour_glasses	frozen_raspberries	fruits_of_your_choice	fine_chopped_tomato	fresh_parsley__finely_chopped	fresh_tofu_bread	fresh_red_fruit	fresh_mint_tops	flour_according_to_the_need	firm_flesh_fish_nets__monkfish__sea_bream__cod__	fishing_fume	faisle	foie_gras_lobe	food_dyes	flour__yeast_flour_incorporated_if_not_replaced_by_a_teaspoon_of_sodium_acid_carbonate__baking_soda_or_sodium_for_the_kitchen_	fresh_salmon_steak	fourme_d_ambert	fruits_strawberries__blueberries__mango__kiwis__raspberries__blackberries	fixe_chantilly_	fund	fresh_mirabelle	flower_cabbage	fine_chopped_green_pepper	farm_eggs_if_possible	for_legs	frazmboises	fressinette_et_citron	fresh_lemongrass_sticks	flasks_of_andros_strawberry_soup	fresh_scallops	fresh_cheese_little_billy	fresh_cream_brick	fresh_wide_tagliatelle	finely_minced_leek__mandolin_	fresh_basil_leaf	fresh_salmon	fresh_cream_to_bind
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
