id	icing_sugar	iced_new_onion	ice_cubes__optional_	ingredients_and_unrolled_for_the_salty_moleux	ingredients_and_unrolled_for_the_salad	ingredients_for_chocolate_ganache_	it_is_a_very_soft_vinegar_that_i_do_not_recommend_replacing	ingredients__	inca_treasure_sachet	in_the_fee	inca_treasure_sachets	ice_cubes	in_addition_icing_sugar_to_beat_with_the_whites	if_they_are_small	ice_cube_cakes	ice_cube	ingredients_for_the_panna_cotta	ingredients_for_jelly_at_the_ce	icing_sugar_glue	icing_	icing	i_am_afraid	it_is_possible_to_obtain_the_chipotle_chips_in_the_box_at_the_following_address_	i_chose_papantla_vanilla_to_remain_authentic_on_the_theme_but_madagascar_vanilla_will_do_the_trick	icing_sugar_to_coat_the_pasta_balls	in_the_device	i_then_added_white_mushrooms_cut_into_strips__match_of_smoked_ham__and_lenses__with_a_spoon_of_fresh_cream	ingredients_for_pastry_cream	icing_sugar__for_presentation_	icing_sugar_for_decoration	intangible_sugar__icing_sugar_	ingredients_to_garnish_pettoles__of_your_choice
128	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
371	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
399	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
399	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
463	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
