id	l_of_courtbouillon_cube	large_bouquet_of_leaf_parsley	laurier	lemon_juice	leek_white	lemons	large_tiles	little_chopped_onion	leek_germs	l_of_fish_fume_or_chicken_broth	leeks	lemon_yellow	lawyer	large_tomatoes	leek	large_bouquet_of_chervil__essential_	l_of_liquid_cream	large_nuts	l_of_dry_white_wine	large_slices_of_large_smoked_salmon	lime	liter_of_bordeaux_wine	large_onions	lard_bard__salted_bacon_	ladon	large_jar_of_crème_fraîche	liquid_cream	lait	large_potato	l_of_milk	large_pinch_of_powdered_vanilla	little_bananas_too_mature	liter_of_broth__house_or_not_	l_of_hen_broth	large_glass_of_water	liter_of_milk	lasagna_leaves	lime__zest_	lamb_nets__order_from_your_butcher_and_ask_you_to_keep_the_bones_	liter_of_fish_broth	l_of_white_background	l_of_chicken_broth	lemon	large_egg	l_of_water	l_of_red_wine_of_your_choice	liter_of_whipping_cream	l_of_almond_milk	l_and_a_half_of_water	l_of_vegetable_broth	lemongrass_branch	large_eggs	large_apricots_	liters_of_water	large__liquid_vanilla	lime_and_brown_sugar_for_the_service	lemon_zest	l_of_beer	lemon_thyme	lawyers_not_too_walls	lawyers	large_sandwiches	lottoy_hearts_hollow	large_crushed_potatoes	large_yellow_pepper	large_red_pepper	l_of_grapesee_oil	l_of_peanut_oil	liter_of_coconut_milk	lard	large_bouquet_of_broccoli	large_handles_	large_raw_shrimps	l_fry_oil	lemon__zest_	large_handful_of_salad_shoots	large_box_of_chickpeas	large_box_of_tomato_sauce	l_of_cream	l_of_whipping_cream	little_cinnamon	large_soft_potato_cut_in_cube	large_potato_cut_into_cube	large_and_fluffy_potatoes	l_of_hot_fish_broth_or_water	langoustines	little_lamb_mice	large_carrots	lamb_mouse	liquid_honey	large_onion	liquid_coloring	l_of_cold_milk	lettuce_sheet_to_serve	langoustine_heads	langoustine_juice_	langoustine_pieces	leek_leaves	large_glass_of_red_fruit_coulis	leaving	lemon__juice_	lemongrass_rod	log_of_fresh_goat_cheese	laps_of_mill_mill	liter_of_water	lace_pancakes__gavottes_	large_eggs__slightly_beaten	l_of_beef	large_	large_peeled__seeded_tomatoes_and_roughly_cuts	lemons_juice	lomagne_garlic_cloves	laughing_cow	lime_and_half_to_serve	l_of_skimmed_milk	lemon_in_a_hurry	les_blancs	large_green_cabbage_leaves	large_chickens__endives_	lettuce	little_fresh_cream	large_handful_of_spinach_shoots	large_cucumber	l_of_orange_juice	l_of_sparkling_water	l_of_sparkling_water__recommended_perrier_	l_of_lemonade	l_the_swords_lemon	liter_of_very_sparkling_water	l_lemon_juice	l_of_lemon_syrup	l_of_mirabelle_brandy	large_c_with_thick_cream	lemon_drop	lemonade_bottles	l_of_amber_rum	liter_of_sugar_cane	lemons_in_rings	liters_of_aligot_é_white_wine	lemon_cuts_in_slices	large_green_apple_without_core	large_peeled_cucumbers	lemon_peeled	liquorice_rolls	lemon_vert_bio	lapsang_souch_é_smoked_tea	lemon_bio	large_coffee	large_bouquet_of_large_parsley	little_leek	l_of_filtered_water	l_of_whole_milk	liter_of_champagne_sorbet_or_marc_de_champagne	liter_of_apples_sorbet	log_of_goat_logs	liter_of_juniper_sorbet	l_of_b_échamel	lasagna_plates	l_of_uht_liquid_cream	lamb_chops	lollipop	licorice_rolls	licorice_candy_filled_with_almond_paste	lots_of_love	little_butters	loading	locomotive	licorice	leek_whites	large_box_of_pear_to_syrup	large_box_of_pears_at_st_mamet_syrup	large_jar_of_chocolate_dessert_cream	lemons_from_organic_farming	liter_of_whole_milk	l_of_half_skimmed_milk	large_c_to_s_of_philadelphia_cheese	lime_zest	liter_of_fresh_cream	litre_de_riesling	large_rind	liquid_caramel	large_box_of_prepared_red_lenses	liter_of_chicken_broth	lemon_thyme_branches	laurel_sheet	lemon_kaffir_leaves	large_bote_of_fruit_in_st_mamet_syrup	large_glass_of_milk	large_slices_of_country_bread_or_sourdough_bread	large_tomato	little_blinis	large_pinch_of_grated_nutmeg	lemon_zest_washer	line_of_vinegar__raspberries_	large_floury_potatoes	lettuce_heart	line_of_lemon_juice	l	lettuce_leaves	large_slice_of_crust_mies	large_potatoes_to_stuff	l_of_bouchot_bowl	laps_of_pepper_mill	lime__juice_	leaves_and_basil_flower	liter_of_tomato_juice	liter_of_vegetable_broth	liter_of_broth	lemons_slices	lasagna	lasagne	little_leek_white_finely_minced	large_granny_smith_apples	little_water_if_it_is_not_flexible	large_green_pepper	liposoluble_red_color_qs	limousin_apples	limousin_aop_apples	legumes	large_slices_of_smoked_salmon	l_of_full_fruit_sorbet_strawberry_map_of_gold	l_of_clementine_juice	line_of_grenadine_syrup	l_of_custard	litchis	liquid_cream__optional_	large_slices_of_bread	large_country_bread_sandwiches	lemon_aroma	large_slice_of_country_bread	l_of_tomato_or_b_échamel_sauce_as_a_base	large_green_asparagus	log_of_goat_cheese	liquid_cream_	large_organic_eggs	large_red_onion	l_of_whole_milk__farmer_for_me	lemon_or_other_yogurt__we_take_the_pot_as_a_measure_	large_syrup_fishing_box	l_of_alcohol_for_fruit	l_of_armagnac	large_chicken_whites	l_of_whole_milk__very_important_	lemon_fillet	liter_of_sunflower_oil	large_pinches_of_provence_herbs__according_to_everyone_s_taste_	large_strawberries	lemongrass_sticks	liter_of_skimmed_milk	leaf_of_gelatin_	lemon__juice__zest_	leaf_of_gelatin	lemon_verbena_leaves	lemon__juice_and_zest_	lemon_mousse	l_of_life	liquid_vanilla_extract	large_apples	large_handles_of_grated_cheese	l_of_white_vinegar_or_alcohol_vinegar	l_of_wine_vinegar	large_paris_mushrooms_cut_into_thin_slices	large_round_tomatoes	large_cloves_of_garlic	liter_of_ready_made_b_échamel	large_potatoes	laughing_cow_areas	large_spoons_of_tomato_sauce	l_of_cold_water__depending_on_the_size_of_the_bowl_	l_fish_fume	l_of_tomato_pulp	leaves_of_lasagna_dough	large_jar_of_tomato_sauce
4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
