id	untreated_little_lemon	utensils	uninterrupted	unlimited_crushed_ice_cream	und_sweet_chocolate_pudding_power	untreated_orange_zest_entirely	unrealized_lemons__zest_and_juice_	untreated_orange_zest	use_the_pot_as_a_measurement	under	untouchable_sugar	untreated_orange_zest_to_decorate	untreated_lemon	untreated_lime	untreated_orange	unrealized_lemons
28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
730	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0
793	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0
916	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0
1266	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1810	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1829	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1909	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0
2032	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0
2117	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0
2177	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0
2200	0	0	0	0	0	0	0	0	0	0	0	0	zest_of_1_divide_2	0	0	0
2200	0	0	0	0	0	0	0	1_divide_2	0	0	0	0	0	0	0	0
2247	0	0	0	0	0	0	0	0	0	0	0	0	0	1_divide_2	0	0
2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
