id	_g	_	_¼_lait	_¾_cup_of_flour	_¾_cup_of_caster_sugar	_¼_l_of_milk	_¾_sheet_of_green_salads	_¾_egg	_¼_boot_of_chives	_¼_kneever_boot	_¼_tspto_cof_salt_or_fine_salt	_¼_green_pepper	_¼_red_pepper	_¼_l_of_tomato_coulis	_⅒_kg_of_butter	_⅖_g_of_safran	_¼_tspto_cpeppers	_¼_tspto_cbaking	_¼_tspto_cpepper	_¼_chopped_chives_bouquet	_¼_tspto_cblack_pepper	_¼_pineapple	_¼_l_of_wine	_¼_c_to_c_of_salt	_¼_tspto_csoft_curry	_œœufs	_œuf	_¼_l_of_syrup_d_ubabage	_œ_lemon_zest	_¼_pumpkin	_¼_cucumber	_¼_tspto_cgrated_garlic	_¼_tspto_ccurry	_¼_tspto_cyeast	_¼_c_to_c_of_soft_powdered_chili	_¼_tspto_cgarlic_powder	_¼_teaspoon_salt	_¾_margarine_cup	_¾_cup_of_sugar	_¾_can_d_uile	_¼_boot_of_mint	_¼_citron	_¼_orange	_¼_baguette	_¾_pot_of_oil_yogurt	_೨_g_d_agragar__magasine_bio_	_¼_bouquet_of_fresh_coriander	_¼_tspto_csalt_or_fine_salt__or_less__depending_on_tastes_	_¼_onion	_¼_boot_of_flat_parsley
110	1_sausage_to_cook_about_500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	200_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	1_chaource_of_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	0	150_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
